consumer,entry_point,carrier,field_path,read_sites,fact,role,disposition_class,a_surface_source_or_derivation
sectionanalyzer.cpp,analyzeSection,keyModeResult,keySignatureFifths,"105, 109, 129, 135, 751",island key-stabilization compare + tonicPc + key-area grouping,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths (keySignatureFifthsForKey)"
sectionanalyzer.cpp,analyzeSection,keyModeResult,mode,"106, 110, 130-131, 752",stabilization compare + keyModeTonicOffset/ScaleIntervals + key-area mode,decision,A-SOURCED,SegmentSummary.isMajor + modal-reading(C1)
sectionanalyzer.cpp,analyzeSection,keyModeResult,normalizedConfidence,"753, 760","key-area grouping: confidence >= 0.8 opens a new area, keeps area max",decision,A-SOURCED,posterior(OI-193) (key-marginal mass)
sectionanalyzer.cpp,analyzeSection,ChordAnalysisTone,pitch,"80, 100, 142, 245, 494, 708","distinct-PC count, scale-membership (diatonicToKey), gap-tone PC sets",decision,DERIVABLE,L1-note-surface (sounding note pcs)
sectionanalyzer.cpp,analyzeSection,ChordAnalysisTone,tpc,"330, 400",bass spelling of an inferred sparse/gap chord,decision,DERIVABLE,L1-note-surface (note tpc)
sectioncadencedetection.cpp,analyzeSection,keyModeResult,normalizedConfidence,"56, 78-79, 174, 203",hasAssertiveKeyConfidence (>=0.8) gates cadence + pivot labels,decision,A-SOURCED,posterior(OI-193) (key-marginal mass)
sectioncadencedetection.cpp,analyzeSection,keyModeResult,keySignatureFifths,"87-88, 180-187, 203",cadence requires same key; pivot key-change detection,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths"
sectioncadencedetection.cpp,analyzeSection,keyModeResult,mode,"89-90, 184-205",cadence requires same mode; pivot key-change; tonicPc via keyModeTonicOffset,decision,A-SOURCED,SegmentSummary.isMajor
sectioncadencedetection.cpp,analyzeSection,chordResult.identity,rootPc,"94, 230",cadence roots must differ; pivot root in incoming scale,decision,A-SOURCED,SegmentSummary.rootPc
sectioncadencedetection.cpp,analyzeSection,chordResult.identity,quality,102-109,PAC dominant non-minor; DC major->minor deceptive test,decision,A-SOURCED,SegmentSummary.quality
sectioncadencedetection.cpp,analyzeSection,chordResult.function,degree,"101-131, 227",cadence class (PAC/PC/DC/HC) + pivot diatonic-to-outgoing-key from degree,decision,A-SOURCED,"SegmentSummary.degree (A's native cadence factor, OI-166)"
sectioncadencedetection.cpp,analyzeSection,AnalyzedRegion,startTick,"121-132, 249",cadence/pivot label write-tick placement,decision,A-SOURCED,SegmentSummary.startTick
notationcomposingbridge.cpp,analyzeSection,AnalyzedSection,regions,"249, 254, 1006, 1015, 1379",region list: note-containment lookup + emission set,decision,A-SOURCED,SegmentSummary sequence
notationcomposingbridge.cpp,analyzeSection,AnalyzedSection,keyAreas,"1016, 1086-1102, 1130",key-area list: bracket markers + effective Roman key,decision,DERIVABLE,collapse SegmentSummary key sequence into areas
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,startTick,"256, 1021, 1071, 1111",region containment + selection split + min-duration gate + annotation segment,decision,A-SOURCED,SegmentSummary.startTick
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,endTick,"256, 271, 1072, 1113",containment + boundary tie-break + min-duration gate,decision,A-SOURCED,SegmentSummary.endTick
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,chordResult,"298, 1136",primary decoded chord -> chordResults[0] / annotationResult,decision,A-SOURCED,SegmentSummary + derived-chord-facts
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,alternatives,"297, 301-302",candidates [1..] -> NoteHarmonicContext.chordResults[1..] (context menu / status bar),decision,A-SOURCED,posterior(OI-193) (ranked alternatives)
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,keyModeResult,"278-279, 1118-1119",per-region key -> context.keyFifths/keyMode + chord-symbol spelling key,decision,A-SOURCED,"SegmentSummary (tonic,isMajor,fifths)"
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,keyAreaId,"285, 1081","enclosing key-area index (bracket markers, enclosingKeyArea)",decision,DERIVABLE,key-area index from collapsed SegmentSummary sequence
notationcomposingbridge.cpp,analyzeSection,AnalyzedRegion,temporalExtensions,281,whole-struct copy into NoteHarmonicContext.temporalExtensions; no sub-field read,carried,RETIRE-CANDIDATE,no live reader downstream
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,chordResult.identity,rootPc,"95, 1142, 1206",sparse-chord degree; annotation degree; pedal-name chord root,decision,A-SOURCED,SegmentSummary.rootPc
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,chordResult.identity,quality,"1153, 1158",Unknown-gate for chord-track roman-quality refinement,decision,A-SOURCED,SegmentSummary.quality
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,chordResult.identity,score,836,status-bar candidate '(%.2f)' score suffix,presentation,A-SOURCED,posterior(OI-193) (candidate model probability)
notationcomposingbridge.cpp,analyzeSection,chordResult.identity,isPedalPoint,1202,gate: emit 'X ped.' pedal-point StaffText annotation,decision,UNRESOLVED,A DecodeResult/SegmentSummary carries no pedal-point concept -> user (decision-doc §3)
notationcomposingbridge.cpp,analyzeSection,chordResult.identity,pedalBassPc,"1203, 1206-1207",pedal bass note for the 'X ped.' annotation,decision,UNRESOLVED,A carries no pedal-bass concept -> user (decision-doc §3)
notationcomposingbridge.cpp,analyzeSection,chordResult.function,degree,"97, 1144, 1154-1155",diatonic-degree gate for sparse/annotation Roman refinement,decision,A-SOURCED,SegmentSummary.degree
notationcomposingbridge.cpp,analyzeSection,keyModeResult,keySignatureFifths,"278, 1118",context.keyFifths + per-region chord-symbol spelling key,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths"
notationcomposingbridge.cpp,analyzeSection,keyModeResult,mode,"279, 771, 863, 1119",context.keyMode + status-bar/area key-string suffix (keyModeSuffix),decision,A-SOURCED,SegmentSummary.isMajor + modal-reading(C1)
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,keyModeResult,normalizedConfidence,280 (helpers.cpp:192),-> NoteHarmonicContext.keyConfidence (carried; no in-tree reader),carried,A-SOURCED,posterior(OI-193) (key-marginal mass)
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,keyModeResult,score,helpers.cpp:194,written to *outScore; the only caller passes no ptr (dead),diagnostic,RETIRE-CANDIDATE,dead path; no live reader
notationcomposingbridge.cpp,analyzeSection,KeyArea,keyFifths,"859, 862, 1045, 1130",status-bar area string + bracket-marker tonic + effective Roman key,decision,DERIVABLE,= area key from collapsed SegmentSummary sequence
notationcomposingbridge.cpp,analyzeSection,KeyArea,mode,"859, 863, 1047-1059, 1131",bracket-marker case/suffix branches on exotic mode; area Roman key,decision,A-SOURCED,SegmentSummary.isMajor + modal-reading(C1)
notationcomposingbridge.cpp,analyzeSection,KeyArea,startTick,1087-1088,prev/new area starts for bracket-marker placement + pivot suppression,decision,DERIVABLE,area span bound from collapsed SegmentSummary sequence
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,ChordAnalysisTone,pitch,"100, 133, 143, 155-166",sparse-chord inference: bass/root/PC-set of a thin region,decision,DERIVABLE,L1-note-surface (sounding note pcs)
notationcomposingbridge.cpp,analyzeNoteHarmonicContext,ChordAnalysisTone,tpc,157,bass spelling (bassTpc) of the inferred sparse chord,decision,DERIVABLE,L1-note-surface (note tpc)
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,startTick,"251, 577, 634, 666, 857","key-run duration, display-region lookup, tone window, merge gap, note placement",decision,A-SOURCED,SegmentSummary.startTick
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,endTick,"251, 595, 669, 858-859","key-run stability, merge extend, min-display-duration gate",decision,A-SOURCED,SegmentSummary.endTick
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,chordResult,"303, 862, 1100, 1153-1174",coalescing key + voicing + chord-symbol/roman/nashville formatting,decision,A-SOURCED,SegmentSummary + derived-chord-facts
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,keyModeResult,"185-256, 863-864",key-run label + KeySig write (fifths) + spelling key + coalescing,decision,A-SOURCED,"SegmentSummary (tonic,isMajor,fifths)"
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,tones,"671, 1074, 1096-1108",voicing pitches for the imploded chord-track chord,decision,DERIVABLE,L1-note-surface (re-collect over segment span)
notationimplodebridge.cpp,analyzeSection,AnalyzedRegion,hasAssertiveExposure,"195, 253, 867","gates KeySig exposure, '?' mark, relationship/pivot, non-diatonic marker",decision,A-SOURCED,posterior(OI-193) (key-marginal mass >= threshold)
notationimplodebridge.cpp,analyzeSection,chordResult.identity,rootPc,"303, 1015-1027",coalescing equality + pivot root-in-scale,decision,A-SOURCED,SegmentSummary.rootPc
notationimplodebridge.cpp,analyzeSection,chordResult.identity,quality,"304, 1183",coalescing equality + fallback-refined roman-quality emit gate,decision,A-SOURCED,SegmentSummary.quality
notationimplodebridge.cpp,analyzeSection,chordResult.function,degree,"1012, 1180",pivot diatonic (degree>=0) + roman-numeral fallback gate,decision,A-SOURCED,SegmentSummary.degree
notationimplodebridge.cpp,analyzeSection,chordResult.function,diatonicToKey,1205,gates the non-diatonic (borrowed/secondary) marker,decision,DERIVABLE,from SegmentSummary.degree/classKey (diatonic vs chromatic/applied class)
notationimplodebridge.cpp,analyzeSection,keyModeResult,keySignatureFifths,"185-243, 863",key-run label + KeySig element fifths + spelling/formatter key,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths"
notationimplodebridge.cpp,analyzeSection,keyModeResult,mode,"186-256, 864",key-label suffix + coalescing + relationship/pivot/borrowed-key (exotic branches),decision,A-SOURCED,SegmentSummary.isMajor + modal-reading(C1)
notationimplodebridge.cpp,analyzeSection,keyModeResult,normalizedConfidence,"84, 189-235, 307-308",OI-182 exposure gates + mode-suffix threshold + coalescing bucket,decision,A-SOURCED,posterior(OI-193) (key-marginal mass/gap)
notationimplodebridge.cpp,analyzeSection,ChordAnalysisTone,pitch,1075-1076,voicing dedup by MIDI pitch (bass/treble split),decision,DERIVABLE,L1-note-surface (sounding note pitches)
notationtuningbridge.cpp,analyzeHarmonicRhythm,HarmonicRegion,startTick,787,region tuning-loop start (which notes are retuned),decision,A-SOURCED,SegmentSummary.startTick
notationtuningbridge.cpp,analyzeHarmonicRhythm,HarmonicRegion,endTick,788,region tuning-loop end bound,decision,A-SOURCED,SegmentSummary.endTick
notationtuningbridge.cpp,analyzeHarmonicRhythm,chordResult.identity,rootPc,"792, 794, 796","tuning-offset lookup (semitoneFromPitches, tuningOffset, rootOffset)",decision,A-SOURCED,SegmentSummary.rootPc
notationtuningbridge.cpp,analyzeHarmonicRhythm,chordResult.identity,quality,793,"tuningSystem.tuningOffset(quality,...) argument",decision,A-SOURCED,SegmentSummary.quality
notationtuningbridge.cpp,analyzeHarmonicRhythm,HarmonicRegion,keyModeResult,"793, 796",whole key/mode struct passed to tuningOffset/rootOffset (tonic-anchored tuning),decision,A-SOURCED,"SegmentSummary (tonic,isMajor,fifths)"
notationinteraction.cpp,analyzeNoteHarmonicContext,ChordAnalysisResult,results[0],8316-8318,top candidate -> formatChordResultForStatusBar -> Harmony element written to score,decision,A-SOURCED,SegmentSummary + derived-chord-facts
notationinteraction.cpp,analyzeNoteHarmonicContext,(out-param),keyFifths,8309-8318,spelling key for the written chord symbol / Roman numeral,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths"
notationcontextmenumodel.cpp,analyzeNoteHarmonicContextDetails,NoteHarmonicContext,keyFifths,"58, 86-88",spelling key for menu chord-symbol/roman/nashville formatting,decision,A-SOURCED,"SegmentSummary (tonic,isMajor)->fifths"
notationcontextmenumodel.cpp,analyzeNoteHarmonicContextDetails,NoteHarmonicContext,chordResults,85-88,each candidate -> formatSymbol/formatRomanNumeral/formatNashvilleNumber menu items,decision,A-SOURCED,SegmentSummary + posterior(OI-193) + derived-chord-facts
notationcontextmenumodel.cpp,analyzeNoteHarmonicContextDetails,chordResults[].identity,score,91,menu-label '(%.2f)' score suffix,presentation,A-SOURCED,posterior(OI-193) (candidate model probability)
notationcontextmenumodel.cpp,analyzeNoteHarmonicContextDetails,chordResults[].identity,rootPc,124,'tune as' menu entry root,decision,A-SOURCED,SegmentSummary.rootPc
notationcontextmenumodel.cpp,analyzeNoteHarmonicContextDetails,chordResults[].identity,quality,124,'tune as' menu entry quality,decision,A-SOURCED,SegmentSummary.quality
notationaccessibility.cpp,harmonicAnnotation,(std::string),harmonicAnnotation(note),"204, 206",pre-formatted status-bar annotation string appended to accessibility text; NO struct read,presentation,A-SOURCED,downstream of the composingbridge status-bar formatter (no direct surface read)
