kind,file,ident,line,verdict_class,verdict,reason
file,src/composing/analysis/engravingbridge/phraseboundaryview.h,L1,,CODE,SURVIVES,"ASSUMES: phrase ends are readable from the notated surface alone, key/chord/function-agnostic (THEORY: local-change surface cues; design cowork_phrase_boundary_design.md §4) — MUST be cadence-agnostic (cadence CONSUMES it — circularity guard) | PUBLISHES: PhraseBoundaryParams, VoiceBoundaryProfile, PhraseBoundaryProfile, phraseBoundaryTicks() | CONSUMERS: DORMANT/gated-off on production (joint-key re-key pass gated OFF; batch diagnostics) — becomes load-bearing at L5 engage | EDGES: null score → empty set; all-zero profile → no picks; one-sided change-ratio at ends"
file,src/composing/analysis/engravingbridge/regiontonecollector.cpp,L1,,CODE,SURVIVES,"ASSUMES: the 0.3 repetition boost, 1.5 cross-voice boost, and the >=3-pc dense-start look-ahead exclusion reproduce the legacy analysis weighting (ASSUMPTION: hand-set; kept byte-identical to legacy on purpose) | PUBLISHES: weightedPcView impl (the real derived view) | CONSUMERS: batch_analyze:2706, notation bridge collectRegionTones wrapper | EDGES: regionDuration<=0 guarded; durInRegion<=0 skipped; totalWeight==0 skipped; pedal pass only when pedals present"
file,src/composing/analysis/engravingbridge/regiontonecollector.h,L1,,CODE,SURVIVES-MIXED,"ASSUMES: eligibility = show && !drumset && !chordTrack (FACT: matches notation predicate); weightedPcView reproduces legacy collectRegionTones EXCEPT tie + no-cap corrections | PUBLISHES: staffIsEligible/isChordTrackStaff, soundingAt/collectSoundingAt/buildTones, weightedPcView/collectRegionTones | CONSUMERS: L2(via note_model eligibility), L4 chord scoring (weightedPcView/buildTones), notation bridge, batch | EDGES: see impl; excludeStaves/grace/non-playing filtered by passes()"
file,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,L1,,CODE,SURVIVES-MIXED,"ASSUMES: pitchContextOverSpan weighting (durationQn x timeDecay x lookahead x beatWeight) is the L3 key-window evidence model (THEORY: windowed pitch salience); Jaccard sub-boundary distance detects onset change (L2-legacy) | PUBLISHES: soundingAt/buildTones/weightedPcView helpers, collectPitchContext(legacy)/pitchContextOverSpan(L3), detectOnset/BassMovementSubBoundaries(L2-legacy) | CONSUMERS: keymodesequence:89 (pitchContextOverSpan, LIVE L3), keyresolver seed (collectPitchContext, retires R5), bridge (sub-boundary pass-throughs) | EDGES: onsets<2 → no sub-boundary; empty context safe; lookahead multiplier applied by flag"
file,src/composing/analysis/engravingbridge/spellingview.cpp,L1,,CODE,SURVIVES,ASSUMES: line-of-fifths = tpc - TPC_C (FACT) | PUBLISHES: lineOfFifths/sharpFlatSense/spanSpelling impls | CONSUMERS: see spellingview.h | EDGES: tpcIsValid skips invalid; centroid 0.0 on empty
file,src/composing/analysis/engravingbridge/spellingview.h,L1,,CODE,SURVIVES,"ASSUMES: tpc is a line-of-fifths spelling carried losslessly by L1 (FACT: engraving Tpc); tpcIsValid (not >=0) is the correct presence test (FACT: flat side is negative) | PUBLISHES: lineOfFifths/sharpFlatSense/spanSpelling — the SINGLE tpc-spelling interpreter | CONSUMERS: dormant L4 spelling-pin (lineOfFifths); Phase-B L3 key-spelling term (spanSpelling/sharpFlatSense — ZERO consumers today) | EDGES: invalid tpc → kNoLineOfFifths sentinel (-23, cannot collide); empty span → count 0, centroid 0.0"
file,src/composing/analysis/function/forwardoverride.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/forwardoverride.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functioncadence.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functioncadence.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionmodulation.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionmodulation.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionoutput.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionoutput.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionprogression.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionprogression.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionrelationallabel.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionrelationallabel.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionresolver.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionresolver.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionromannumeral.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/functionromannumeral.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/harmonicfunctionlayer.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/harmonicfunctionlayer.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/tonicizationlabeler.cpp,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/function/tonicizationlabeler.h,L3+,,SCOPE,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
file,src/composing/analysis/grouping/groupinglayer.cpp,L3+,,SCOPE,L3+,grouping for display (L6) — deferred to the L6 audit
file,src/composing/analysis/grouping/groupinglayer.h,L3+,,SCOPE,L3+,grouping for display (L6) — deferred to the L6 audit
file,src/composing/analysis/harmony/harmonicsegmenter.cpp,RETIRES,,SCOPE,RETIRES,L2-LEGACY greedy-expand segmenter impl — retires R6; #12-check kAnchorMinScore/kRound2MinScore + greedy-expand interpretation
file,src/composing/analysis/harmony/harmonicsegmenter.h,RETIRES,,SCOPE,RETIRES,"L2-LEGACY greedy-expand segmenter — retires R6 (segment-first spine), superseded by the change-point slicer; #12-check the anchor thresholds"
file,src/composing/analysis/key/keymodeanalyzer.cpp,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keymodeanalyzer.h,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keymodeformatting.cpp,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keymodesequence.cpp,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keymodesequence.h,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keyresolver.cpp,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/keyresolver.h,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/modepriorpresets.cpp,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/key/modepriorpresets.h,L3+,,SCOPE,L3+,key/mode layer (L3) — deferred to the L3 audit (keyresolver shrinks R5; keymodesequence is the L3 survivor)
file,src/composing/analysis/notemodel/note_model.cpp,L1,,CODE,SURVIVES,"ASSUMES: playTicksFraction() is the authoritative tie-resolved span (FACT: DOM); staffIsEligible at onset tick is the eligibility fact | PUBLISHES: build/extend/overlapping/onsetIn impls; NoteQueryIndex (max-release segment tree) | CONSUMERS: same as note_model.h | EDGES: null score / no firstMeasure → empty model; extend clamps at score bounds, no-op on non-positive/covered; INT_MIN padded leaves pruned"
file,src/composing/analysis/notemodel/note_model.h,L1,,CODE,SURVIVES,"ASSUMES: MuseScore DOM tie/play/visible flags are authoritative (FACT: DOM API); one onset per tied group (THEORY: Pardo&Birmingham / music21 chordify lineage) | PUBLISHES: NoteEvent{11 fields}, NoteModel query API, NoteQueryIndex — the single source of 'what sounds' | CONSUMERS: L2 slicer, L1.5 views, L3 key path, L4 decoder (all downstream) | EDGES: empty/backwards/silent span → no notes; grace/muted/invisible/non-tonal KEPT+flagged; N==0 index safe"
file,src/composing/analysis/param/paramoverride.cpp,L3+,,SCOPE,L3+,"param-override infrastructure — deferred (cross-cutting, not L1/L2)"
file,src/composing/analysis/param/paramoverride.h,L3+,,SCOPE,L3+,"param-override infrastructure — deferred (cross-cutting, not L1/L2)"
file,src/composing/analysis/progression/progressionrecognizer.cpp,L3+,,SCOPE,L3+,progression recognizer (L5 input) — deferred to the L5 audit
file,src/composing/analysis/progression/progressionrecognizer.h,L3+,,SCOPE,L3+,progression recognizer (L5 input) — deferred to the L5 audit
file,src/composing/analysis/region/harmonicrhythm.h,L3+,,SCOPE,L3+,region orchestration (L3 seam); regionanalyzer.cpp EMBEDS the legacy greedy-expand segmenter retiring R6 — deferred to the L3 audit
file,src/composing/analysis/region/regionanalyzer.cpp,L3+,,SCOPE,L3+,region orchestration (L3 seam); regionanalyzer.cpp EMBEDS the legacy greedy-expand segmenter retiring R6 — deferred to the L3 audit
file,src/composing/analysis/region/regionanalyzer.h,L3+,,SCOPE,L3+,region orchestration (L3 seam); regionanalyzer.cpp EMBEDS the legacy greedy-expand segmenter retiring R6 — deferred to the L3 audit
file,src/composing/analysis/region/sparsechordrefinement.cpp,L3+,,SCOPE,L3+,region orchestration (L3 seam); regionanalyzer.cpp EMBEDS the legacy greedy-expand segmenter retiring R6 — deferred to the L3 audit
file,src/composing/analysis/region/sparsechordrefinement.h,L3+,,SCOPE,L3+,region orchestration (L3 seam); regionanalyzer.cpp EMBEDS the legacy greedy-expand segmenter retiring R6 — deferred to the L3 audit
file,src/composing/analysis/scoreharvest/metricweights.cpp,L1,,CODE,SURVIVES-MIXED,"ASSUMES: the hard-coded 1.0/0.85/0.75/0.5 beat table IS the metric-salience fact (ASSUMPTION: hand-set, no fit record) | PUBLISHES: beat-weight impls, buildPedalWindowIndex | CONSUMERS: see metricweights.h | EDGES: pedal: skips sostenuto/soft (magic strings); staff bounds + eligibility guarded; empty windows sorted"
file,src/composing/analysis/scoreharvest/metricweights.h,L1,,CODE,SURVIVES-MIXED,"ASSUMES: beat-strength from the notated time signature is preference-free metric evidence (FACT: engraving TimeSigFrac); metric weight in [0.5,1.0] | PUBLISHES: beat-weight table, sliding-window constants, pedal-window index, timeDecay, distinctPitchClasses | CONSUMERS: L4 membership (regionMetricWeightForOnsetTick), L3 key window (LOOKBACK/DECAY, beatTypeToWeight), pedal reader | EDGES: null score / no measure / timesig num|den<=0 → SUBBEAT fallback (0.5)"
file,src/composing/analysis/section/cadencekeyanchor.cpp,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/cadencekeyanchor.h,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/jointkeydecision.cpp,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/jointkeydecision.h,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/localmodulationdetector.cpp,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/localmodulationdetector.h,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/sectionanalyzer.cpp,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/sectionanalyzer.h,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/section/sectioncadencedetection.cpp,L3+,,SCOPE,L3+,section / cadence / joint-key (L3-L5); cadencekeyanchor R3 diagnostic — deferred
file,src/composing/analysis/slicing/slicer.cpp,L2,,CODE,SURVIVES,"ASSUMES: union of eligible onsets+releases, clipped to loaded span, tiles the domain (FACT, provable) | PUBLISHES: changePointSlices impl | CONSUMERS: regionanalyzer:632/704 (LIVE), batch_analyze ×5, chordslicedecoder(dormant), phraseboundaryview(dormant) | EDGES: all handled explicitly in-code (see header); clip documented byte-identical on whole-score live path"
file,src/composing/analysis/slicing/slicer.h,L2,,CODE,SURVIVES,"ASSUMES: a chord can change ONLY at a boundary tick (THEORY: change-point/salami-slice, Pardo&Birmingham); eligibility is L1's fact, not re-decided | PUBLISHES: Slice{start,end}, changePointSlices() — the exhaustive constant-sonority grid | CONSUMERS: L3 decoder (regionanalyzer seam), L4, L6 | EDGES: <2 boundaries → empty; zero-width note dedups away; clip inert on whole-score; single-tick loaded span → empty"
file,src/composing/analysis/types/analysistypes.h,L3+,,SCOPE,L3+,shared analysis types (cross-layer) — deferred; note: carries metric/spelling/tone type decls consumed by L1
file,src/composing/analysis/vocabulary/harmonicvocabulary.cpp,L3+,,SCOPE,L3+,harmonic vocabulary (L4) — deferred to the L4 audit
file,src/composing/analysis/vocabulary/harmonicvocabulary.h,L3+,,SCOPE,L3+,harmonic vocabulary (L4) — deferred to the L4 audit
file,src/composing/analysis/voiceleading/textureclassifier.cpp,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/textureclassifier.h,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/textureclassifierreference.h,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/voiceleadingprofiles.cpp,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/voiceleadingprofiles.h,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/voicelinearview.cpp,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analysis/voiceleading/voicelinearview.h,L3+,,SCOPE,L3+,voice-leading analysis (L4/L5); voicelinearview is a derived view but serves L4+ selection — deferred (boundary note in report P3)
file,src/composing/analyzed_section.h,L3+,,SCOPE,L3+,public output DTO — not L1/L2 analysis
file,src/composing/composingconfiguration.cpp,L3+,,SCOPE,L3+,module configuration — not L1/L2 analysis
file,src/composing/composingconfiguration.h,L3+,,SCOPE,L3+,module configuration — not L1/L2 analysis
file,src/composing/composingmodule.cpp,L3+,,SCOPE,L3+,module registration/wiring — not L1/L2 analysis
file,src/composing/composingmodule.h,L3+,,SCOPE,L3+,module registration/wiring — not L1/L2 analysis
file,src/composing/icomposinganalysisconfiguration.h,L3+,,SCOPE,L3+,config interface — not L1/L2 analysis
file,src/composing/icomposingchordstaffconfiguration.h,L3+,,SCOPE,L3+,config interface — not L1/L2 analysis
file,src/composing/icomposingconfiguration.h,L3+,,SCOPE,L3+,config interface — not L1/L2 analysis
file,src/composing/intonation/CMakeLists.txt,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/equal_temperament.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/just_intonation.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/kirnberger.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/pythagorean.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/quarter_comma_meantone.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/tuning_keys.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/tuning_registry.cpp,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/tuning_system.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/tuning_utils.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/intonation/werckmeister.h,L3+,,SCOPE,L3+,"tuning subsystem — outside the harmonic-analysis layer stack (separate concern), not L1/L2"
file,src/composing/tests/CMakeLists.txt,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/analyzechord_robustness_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/cadencekeyanchor_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chord_branch_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chord_mismatch_report.txt,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chordanalyzer_musicxml_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chordanalyzer_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chordsymbolformatter_branch_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/chordvoicing_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/comparison_utils.h,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/comparison_utils_tests.cpp,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/chordanalyzer_catalog_jazz.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/chordanalyzer_catalog_standard.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/chordanalyzer_context.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_compound.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_compound.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_dense.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_dense.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_pedal.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_pedal.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_steps.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/eb_steps.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/francis-poulenc-o-magnum-mysterium.mxl,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/jazz_smoke_test.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/mono_smoke_test.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/mono_smoke_test.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_dense_start.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_dense_start.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_flags.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_flags.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_grace.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_grace.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_long_sustain.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_long_sustain.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_slice_held_melody.mscx,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
file,src/composing/tests/data/nm_slice_held_melody.musicxml,L3+,,SCOPE,L3+,test / fixture / test-data — out of L1/L2 source scope (L1/L2 regression tests noted in report P3)
