cls,file,line,kind,value,my_verdict,my_flag,pass1_verdict,pass1_src,pass1_flag
CONCORDANT,sparsechordrefinement.h,35,crosslayer,,SURVIVES,,SURVIVES,satellites,boundary note (#1): overwrites committed L4 identity.quality from the resolved key
DISAGREE,chordanalyzer.cpp,144,literal,0.5,UNFIT,registered-not-in-manifest,ESTABLISHED,oracle,yes
CONCORDANT-CLEAN,chordslicedecoder.h,429,field,,SURVIVES,,PUBLISHED,decoder,PUBLISHED (--decode-chords + fullspine): hasChord (Commit+Inherit=37.4% / abstain 62.6%).
CONCORDANT,chordsymbolformatter.cpp,501,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT-EXCLUDED,analysistypes.h,866,literal,1.5,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordanalyzer.h,516,literal,3,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordanalyzer.cpp,1464,literal,0.0,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,669,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordsymbolformatter.cpp,187,literal,5,ESTABLISHED,,ESTABLISHED,satellites,
CONCORDANT,chordsymbolformatter.cpp,390,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT-CLEAN,chordanalyzer.h,683,field,,SURVIVES,,PUBLISHED,oracle,no
CONCORDANT,chordslicedecoder.h,146,crosslayer,,SURVIVES,,SURVIVES,decoder,"The scorer CONTRACT surface (ChordQuality, ChordAnalyzerPreferences, RuleBasedChordAnalyzer, ChordAnalysisResult, ChordIdentity, kTemplateCount/kTemplateIntervals, deriveChordExtensions). Correct upward dependency on the one scorer. BOUNDARY: internals owned by the oracle session."
CONCORDANT-EXCLUDED,analysistypes.h,602,literal,0.20,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT-CLEAN,chordanalyzer.h,202,function,,SURVIVES,,FACT,oracle,no
CONCORDANT,chordslicedecoder.cpp,804,branch,,SURVIVES,,SURVIVES,decoder,Guard/branch in classifyMembership. SURVIVES; edge behaviour reviewed (deterministic; no unhandled case found).
CONCORDANT,chordanalyzer.cpp,509,literal,5,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,678,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordsymbolformatter.cpp,568,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,1338,literal,3,ESTABLISHED,duplicated-parent-mapping,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,463,literal,3,ESTABLISHED,duplicated-scale-table,ESTABLISHED,satellites,
CONCORDANT,chordanalyzer.cpp,1231,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordanalyzer.cpp,1008,branch,,SURVIVES,,SURVIVES,oracle,no
CONCORDANT,chordanalyzer.cpp,744,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,542,literal,11,ESTABLISHED,,ESTABLISHED,satellites,
CONCORDANT,chordanalyzer.cpp,1463,literal,4,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,sparsechordrefinement.cpp,52,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordanalyzer.cpp,1047,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordanalyzer.h,363,literal,0.0,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT-CLEAN,chordanalyzer.h,374,field,,SURVIVES,,PUBLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,342,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT,chordsymbolformatter.cpp,464,literal,6,ESTABLISHED,duplicated-scale-table,ESTABLISHED,satellites,
CONCORDANT,chordslicedecoder.h,165,field,,SURVIVES,,SURVIVES,decoder,Setting: base window half-width (seed=1). Not in param_manifest.
CONCORDANT,chordanalyzer.cpp,1337,literal,2,ESTABLISHED,duplicated-parent-mapping,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,253,branch,,SURVIVES,,SURVIVES,satellites,
CONCORDANT-CLEAN,chordanalyzer.h,391,field,,SURVIVES,,PUBLISHED,oracle,no
CONCORDANT,chordanalyzer.cpp,276,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordanalyzer.cpp,1043,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT-EXCLUDED,analysistypes.h,832,literal,0.5,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordanalyzer.h,555,literal,3,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT-EXCLUDED,analysistypes.h,620,field,,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordanalyzer.cpp,1337,literal,3,ESTABLISHED,duplicated-parent-mapping,ESTABLISHED,oracle,no
CONCORDANT,chordsymbolformatter.cpp,792,literal,2,ESTABLISHED,duplicated-scale-table,ESTABLISHED,satellites,
CONCORDANT-EXCLUDED,analysistypes.h,803,literal,0.2,OUT-OF-L4-SCOPE,l3-type,,,
CONCORDANT,chordslicedecoder.cpp,845,branch,,SURVIVES,,SURVIVES,decoder,Guard/branch in classifyMembership. SURVIVES; edge behaviour reviewed (deterministic; no unhandled case found).
CONCORDANT,chordanalyzer.cpp,703,literal,12,ESTABLISHED,,ESTABLISHED,oracle,no
CONCORDANT,chordslicedecoder.cpp,186,function,,SURVIVES,,SURVIVES,decoder,"Lazy-extend window: base +/-contextSlices, grow to minHarmonyPcs distinct pcs OR +/-maxContextSlices. Assumes slices tile the domain contiguously (documented). Edge: clamps at the slice-vector edges; reports clampedLo/Hi for decodeSelection (null out-params keep the decode()/diagnostic caller inert). Consumes eligibleNotesInSpan for the distinct-pc probe."
CONCORDANT,chordanalyzer.h,367,literal,0.0,ESTABLISHED,,ESTABLISHED,oracle,no
