file,loc,kind,name,population,verdict_class,verdict,in_param_manifest,flagged,rationale
src/composing/analysis/chord/chordanalyzer.cpp,1307-1307,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1308-1308,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1309-1309,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1310-1310,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1311-1311,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1312-1312,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1313-1313,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1314-1314,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1315-1315,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1316-1316,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1317-1317,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1318-1318,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1319-1319,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1320-1320,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1321-1321,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1322-1322,function,templateIntervalsVec,SURVIVES-oracle,code,SURVIVES,na,no,builds a template's interval vector from kTemplateIntervals (single source); SURVIVES.
src/composing/analysis/chord/chordanalyzer.cpp,1061-1595,function,analyzeChord,SURVIVES-oracle,code,SURVIVES,na,no,"the vertical scoring oracle; LIVE production hot path AND decoder emission; SURVIVES (R9 splits, does not delete)."
src/composing/analysis/chord/chordanalyzer.cpp,1601-1608,function,create,SURVIVES-oracle,code,SURVIVES,na,no,ChordAnalyzerFactory::create; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,103-112,function,templateIntervalMask,SURVIVES-oracle,code,SURVIVES,na,no,derives Gate R mask from kTemplateIntervals (closes drift hazard); SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,116-123,function,makeTemplateMasks,SURVIVES-oracle,code,SURVIVES,na,no,derived Gate R mask table; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,130-147,function,normalizeMergedBassTone,SURVIVES-oracle,code,SURVIVES,na,no,merged-tone bass normalization; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,149-184,function,mergeChordAnalysisTones,SURVIVES-oracle,code,SURVIVES,na,no,tone merge helper; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,186-198,function,bassToneFromTones,SURVIVES-oracle,code,SURVIVES,na,no,bass-tone extraction; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,202-207,function,isDiatonicStep,SURVIVES-oracle,premise,FACT,na,no,"chromatic step (1 or 2 semitones, shortest path); SURVIVES."
src/composing/analysis/chord/chordanalyzer.h,232-235,function,hasExtension,SURVIVES-oracle,code,SURVIVES,na,no,extension bitmask query; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,237-242,function,hasAnyNinth,SURVIVES-oracle,code,SURVIVES,na,no,extension bitmask query; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,244-249,function,hasAnyThirteenth,SURVIVES-oracle,code,SURVIVES,na,no,extension bitmask query; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,251-254,function,setExtension,SURVIVES-oracle,code,SURVIVES,na,no,extension bitmask setter; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,483-511,function,advanceTemporalContext,SURVIVES-oracle,code,SURVIVES,na,no,temporal-context commit helper; NOT orphaned by the decoder -- ChordPathDecoder::commit() calls it (chordpathdecoder.h:114) + tests; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,513-521,function,advanceTemporalContext,SURVIVES-oracle,code,SURVIVES,na,no,temporal-context commit helper; NOT orphaned by the decoder -- ChordPathDecoder::commit() calls it (chordpathdecoder.h:114) + tests; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,552-572,function,advanceTemporalContext,SURVIVES-oracle,code,SURVIVES,na,no,temporal-context commit helper; NOT orphaned by the decoder -- ChordPathDecoder::commit() calls it (chordpathdecoder.h:114) + tests; SURVIVES.
src/composing/analysis/chord/chordanalyzer.h,598-614,function,computeRawFanoutSummary,SURVIVES-oracle,derived-fact,PUBLISHED,na,yes,"read-only L5 fan-out summary (Engage arc #8 measurement); computes the pre-cap ranked-set size L5 will select over; consumer = the read-only fan-out dump; DORMANT consumer (engagement), never serialized -- declared-dormancy fact, consumer named."
src/composing/analysis/chord/chordanalyzer.h,735-750,function,inferNextRootPc,SURVIVES-oracle,code,SURVIVES,na,yes,"next-region root inference; couples to the RETIRING gates (calls applyIter8691Pedal + applyPostScoringGates, R1) -- retirement-coupled."
src/composing/analysis/chord/analysisutils.h,49,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,49,literal,11,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,50,literal,6,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,50,literal,6,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,51,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,52,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,52,literal,8,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,53,literal,3,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,53,literal,3,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,54,literal,2,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,54,literal,10,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,55,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,57,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,58,literal,2,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,58,literal,2,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,59,literal,3,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,59,literal,9,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,60,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,60,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,61,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,61,literal,11,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,62,literal,6,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,62,literal,6,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,63,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[ionianTonicPcFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,71,literal,12,SURVIVES-oracle,constant,ESTABLISHED,na,no,[normalizePc] structural pitch-class/interval/TPC-delta or bitmask constant (music theory); not a tunable.
src/composing/analysis/chord/analysisutils.h,72,literal,12,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[normalizePc] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/analysisutils.h,90,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[diatonicMaskFromFifths] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,91,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[diatonicMaskFromFifths] structural pitch-class/interval/TPC-delta or bitmask constant (music theory); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,2,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,9,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,105,literal,11,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,2,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,3,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,5,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,8,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,10,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/analysisutils.h,106,literal,11,SURVIVES-oracle,constant,ESTABLISHED,na,no,[collectionMask] circle-of-fifths / mode-collection table entry (music theory FACT); not a tunable.
src/composing/analysis/chord/chordanalyzer.cpp,58,literal,0.75,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kContradictionPenalty: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,68,literal,1.8,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kRootToneFactor: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,69,literal,1.2,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSecondToneFactor: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,70,literal,1.0,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kOtherToneFactor: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,71,literal,3.0,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kTemplateToneWeightCap: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,72,literal,2.0,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kExtraNoteWeightCap: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,84,literal,0.45,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kExtensionFactor7th: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,85,literal,0.20,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kExtensionFactorFlat13: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,86,literal,0.35,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kExtensionFactorDefault: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,87,literal,0.45,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kForeignPenalty: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,96,literal,0.10,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4FlatThirdFactor: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,97,literal,0.45,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4SharpThirdFactor: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,104,literal,0.75,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kDim7CharacteristicBonus: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,105,literal,0.35,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kNonBassPenalty: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,106,literal,0.70,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4VariantMissing7th: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,107,literal,0.50,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4Maj7MissingP5: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,108,literal,0.70,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4MissingFourth: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,113,literal,0.50,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSus4StructuralFourthThreshold: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,114,literal,0.55,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kDom7FlatFiveTpcPenalty: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,115,literal,0.50,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kDom7FlatFiveMissing7th: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,116,literal,0.30,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kPowerChord3PcPenalty: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,117,literal,0.05,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kBassSupportPresenceThreshold: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,124,literal,0.12,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kSeventhThreshold: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,129,literal,0.20,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kExtensionThreshold: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,141,literal,0.50,SURVIVES-oracle,constant,ESTABLISHED,yes,no,"[<file-scope>] kWComplete: scoring constant, theory-ordered + empirical magnitude, override-registered"
src/composing/analysis/chord/chordanalyzer.cpp,142,literal,0.05,SURVIVES-oracle,constant,ESTABLISHED,no,yes,"[<file-scope>] kWCompletePresenceThreshold: scoring constant, theory-ordered + empirical magnitude, override-registered; ABSENT from param_manifest.json despite being override-registered (coverage gap)"
src/composing/analysis/chord/chordanalyzer.cpp,143,literal,0.5,SURVIVES-oracle,constant,ESTABLISHED,no,yes,"[<file-scope>] kComplexityEvidenceFloor: scoring constant, theory-ordered + empirical magnitude, override-registered; ABSENT from param_manifest.json despite being override-registered (coverage gap)"
src/composing/analysis/chord/chordanalyzer.cpp,144,literal,0.5,SURVIVES-oracle,constant,ESTABLISHED,no,yes,"[<file-scope>] kAugThinEvidenceFactor: scoring constant, theory-ordered + empirical magnitude, override-registered; ABSENT from param_manifest.json despite being override-registered (coverage gap)"
src/composing/analysis/chord/chordanalyzer.cpp,204,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,207,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,211,literal,3,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,212,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,215,literal,4,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,216,literal,7,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,217,literal,10,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
src/composing/analysis/chord/chordanalyzer.cpp,218,literal,11,SURVIVES-oracle,constant,ESTABLISHED,na,no,"[categorizeExtraNote] structural literal (bound, index, threshold-with-documented-rationale); not a scoring tunable."
