process_order,row_id,kind,scope,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason
14,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|109|1796,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,109,ternary in csfPitchClassNameFromTpc,,SURVIVES,its guarded predicate,control flow only,csfPitchClassNameFromTpc,null/empty/range handled by the enclosing guard,,"Branch (ternary) in csfPitchClassNameFromTpc: if (pc == 4  && (tpc == 6 || tpc == 7)) return isGerman ? ""Fes"" : ""Fb"" — straightforward guarded control flow; edge cases handled; no correctness issue observed."
15,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|1026|2053,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,1026,if in formatNashvilleNumber,,SURVIVES,its guarded predicate,control flow only,formatNashvilleNumber,null/empty/range handled by the enclosing guard,,Branch (if) in formatNashvilleNumber: if (result.function.degree >= 0 && result.function.degree < 7) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
16,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|791|833,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,791,7 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),duplicated-scale-table,csfTonicizationScales Phrygian: correct value; duplicates SCALES (:457) and keyModeScaleIntervals().
17,field|src/composing/analysis/types/analysistypes.h|673|1431,field,satellites,src/composing/analysis/types/analysistypes.h,673,KeyModeAnalyzerPreferences::modePriorDorianSharp4,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
18,branch|src/composing/analysis/chord/chordanalyzer.h|169|1645,branch,oracle,src/composing/analysis/chord/chordanalyzer.h,169,if in mergeChordAnalysisTones,,SURVIVES,its guarded predicate,control flow only,mergeChordAnalysisTones,null/empty/range handled by the enclosing guard,,Branch (if) in mergeChordAnalysisTones: if (newTone.simultaneousVoiceCount > mergedTone->simultaneousVoiceCoun — straightforward guarded control flow; edge cases handled; no correctness issue observed.
19,branch|src/composing/analysis/chord/chordslicedecoder.cpp|950|1748,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,950,if in nameOpenQuestion,,SURVIVES,its guarded predicate,control flow only,nameOpenQuestion,null/empty/range handled by the enclosing guard,,Branch (if) in nameOpenQuestion: if (!other) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
20,field|src/composing/analysis/types/analysistypes.h|620|1410,field,satellites,src/composing/analysis/types/analysistypes.h,620,KeyModeAnalyzerPreferences::extraScaleCap,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
21,literal|src/composing/analysis/types/analysistypes.h|243|962,literal,satellites,src/composing/analysis/types/analysistypes.h,243,0.45 in <file-scope>,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 0.45 in <file-scope>: double completeTriadInversionBonus = 0.45; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
22,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|1009|2051,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,1009,if in nashvilleExtensionSuffix,,SURVIVES,its guarded predicate,control flow only,nashvilleExtensionSuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in nashvilleExtensionSuffix: if (hasExtension(result.identity.extensions, Extension::SixNine))      — straightforward guarded control flow; edge cases handled; no correctness issue observed."
23,branch|src/composing/analysis/chord/chordanalyzer.cpp|1431|1614,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1431,if in analyzeChord,,SURVIVES,its guarded predicate,control flow only,analyzeChord,null/empty/range handled by the enclosing guard,,Branch (if) in analyzeChord: if (thirdW <= prefs.extensionThreshold — straightforward guarded control flow; edge cases handled; no correctness issue observed.
24,literal|src/composing/analysis/chord/chordanalyzer.cpp|1454|502,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1454,0.0 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 0.0 in analyzeChord: return 0.0; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
25,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|924|907,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,924,12 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),,"Constant 12 in formatRomanNumeral: const int upASemitone = (nextPc - rootPc + 12) % 12; // 1 = nextPc is semitone a — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
26,field|src/composing/analysis/types/analysistypes.h|145|1357,field,satellites,src/composing/analysis/types/analysistypes.h,145,ChordAnalysisTone::durationInRegion,,SURVIVES,its default initializer,ChordAnalysisTone::durationInRegion,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordAnalysisTone::durationInRegion: a published struct member with a documented default; consumed downstream; SURVIVES.
27,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|278|1860,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,278,else-if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (else-if) in csfQualitySuffix: } else if (hasMin7 && hasThirteenth) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
28,literal|src/composing/analysis/chord/chordanalyzer.cpp|1462|507,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1462,3 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 3 in analyzeChord: case ChordQuality::Diminished: thirdInterval = 3; fifthInterval = 6; break; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
29,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|343|1895,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,343,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in csfQualitySuffix: if (hasNinthSharp) { suffix += ""#9""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
30,crosslayer|src/composing/analysis/chord/chordanalyzer.cpp|24|2078,crosslayer,oracle,src/composing/analysis/chord/chordanalyzer.cpp,24,include analysisutils.h -> external,,SURVIVES,the included header's API,a dependency edge,chordanalyzer.cpp,n/a,,#include analysisutils.h (external): a correct within-/adjacent-layer dependency (chord scorer/types reuse); SURVIVES.
31,field|src/composing/analysis/chord/chordslicedecoder.h|165|1285,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,165,ChordSliceDecoderPreferences::contextSlices,,SURVIVES,its default initializer,ChordSliceDecoderPreferences::contextSlices,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordSliceDecoderPreferences::contextSlices: a published struct member with a documented default; consumed downstream; SURVIVES.
32,function|src/composing/analysis/chord/analysisutils.h|87|4,function,oracle,src/composing/analysis/chord/analysisutils.h,87,diatonicMaskFromFifths(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function diatonicMaskFromFifths(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
33,literal|src/composing/analysis/chord/chordanalyzer.cpp|568|290,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,568,12 in dim7CharacteristicBonus,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing dim7CharacteristicBonus,n/a (compile-time constant),,"Constant 12 in dim7CharacteristicBonus: const int b5Pc = (rootPc + 6) % 12; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
34,field|src/composing/analysis/chord/chordslicedecoder.h|432|1327,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,432,SliceChord::confidence,,SURVIVES,its default initializer,SliceChord::confidence,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field SliceChord::confidence: a published struct member with a documented default; consumed downstream; SURVIVES.
35,literal|src/composing/analysis/types/analysistypes.h|733|1064,literal,satellites,src/composing/analysis/types/analysistypes.h,733,1.0 in <file-scope>,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
36,literal|src/composing/analysis/types/analysistypes.h|772|1069,literal,satellites,src/composing/analysis/types/analysistypes.h,772,24 in <file-scope>,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
37,function|src/composing/analysis/chord/chordslicedecoder.cpp|405|76,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,405,focalConsistentAsEmbellishmentsOf(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function focalConsistentAsEmbellishmentsOf(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
38,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|304|1877,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,304,case in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (case) in csfQualitySuffix: case ChordQuality::Diminished: — straightforward guarded control flow; edge cases handled; no correctness issue observed.
39,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|941|2023,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,941,if in formatRomanNumeral,,SURVIVES,its guarded predicate,control flow only,formatRomanNumeral,null/empty/range handled by the enclosing guard,l4l5-boundary,"Tonicization label (V7/x vs vii°/x): correct, but L5-flavored functional output on the L4 formatter TU (same boundary note as aug6)."
40,literal|src/composing/analysis/types/analysistypes.h|855|1141,literal,satellites,src/composing/analysis/types/analysistypes.h,855,5.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
