kind,file,line,ident,context,population,verdict,fire_route,in_param_manifest,notes
function,src/composing/analysis/chord/chordslicedecoder.cpp,499,completeChosenExtensions,completeChosenExtensions (499-513),L4-DECODER,SURVIVES,BOTH,,Completes the chosen chord's extension identity via deriveChordExtensions on the window's pcWeight/tpcForPc (the same primitive buildChordResult uses). Edge: no-op when chosen already known or rootless. Publishes chosen.extensions/naturalFifthPresent/extensionsKnown (the L4->L5 carry). BOUNDARY: deriveChordExtensions (oracle).
function,src/composing/analysis/chord/chordslicedecoder.cpp,521,populateForwardContract,populateForwardContract (521-543),L4-DECODER,SURVIVES,CORPUS,,G6: computes the composite confidence (computeConfidence) + the named open question (nameOpenQuestion) AFTER the decision. Representational — changes NO decision field. Publishes confidenceModel + openQuestion. Consumes classifyMembership for the cleanliness axis.
function,src/composing/analysis/chord/chordslicedecoder.cpp,566,symmetricRotationSet,symmetricRotationSet (566-598),L4-DECODER,SURVIVES,BOTH,,"Detects the two catalogue symmetric sonorities from the chosen quality + focal pcs present: augmented (r,r+4,r+8) or FULL dim7 (r,r+3,r+6,r+9). Edge: a plain dim TRIAD (no r+9) is NOT symmetric (guarded) -> the pin never touches it. Assumes the existing catalogue (the 4-note dim7 TYPE C2/G5 is deferred). Publishes SymRotationSet."
function,src/composing/analysis/chord/chordslicedecoder.cpp,605,focalLineOfFifths,focalLineOfFifths (605-619),L4-DECODER,SURVIVES,BOTH,,"The line-of-fifths a pc is spelled at across the focal notes, or kNoLineOfFifths (absent) / kContradictedLof (two spellings of one pc). Consumes the SHARED engravingbridge::lineOfFifths (one spelling interpreter — #6-clean). Edge: same pc spelled two ways -> contradiction sentinel."
function,src/composing/analysis/chord/chordslicedecoder.cpp,627,spellingRootOf,spellingRootOf (627-647),L4-DECODER,SURVIVES,BOTH,,"The spelling-determined root of a symmetric set: LOF-sorted stack must rise by stepFifths each; root = sharpest (dim7) / flattest (aug). Edge: absent / contradicted / non-clean-stack -> -1 (defer to the scorer's key choice). Deterministic pin, not a tuned bonus."
function,src/composing/analysis/chord/chordslicedecoder.cpp,653,bestRotationCandidate,bestRotationCandidate (653-665),L4-DECODER,SURVIVES,BOTH,,"Finds the cube candidate re-rooting the chosen symmetric chord to the spelled root (prefer the chosen's own bass, else any voicing). Edge: rotation not in the surfaced cube -> nullptr (defensive; every dim7 rotation is normally scored)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,669,spellingPinnedRoot,spellingPinnedRoot (669-678),L4-DECODER,SURVIVES,BOTH,,"Public wrapper: enableSpellingPin gate -> spellingRootOf(symmetricRotationSet). Pure; exposed for the scorer-independent behaviour tests. Corpus: pin firing not directly emitted (no pinned-flag); population = symmetric sonorities (committed Augmented=6, Diminished largely abstains on Baroque); TEST-confirmed (SpellingPin_* incl. dim7/aug/absent/contradicted)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,713,symmetricRotationSet,symmetricRotationSet (713-713),L4-DECODER,SURVIVES,BOTH,,"SCANNER OVER-CAPTURE: this is the decideSlice call-expression 'symmetricRotationSet(sc.chosen, focal)' at cpp:713 (a ternary arm), NOT a second definition. Expected per the inventory's declared over-capture-biased heuristic. See the real definition at cpp:566."
function,src/composing/analysis/chord/chordslicedecoder.cpp,680,decideSlice,decideSlice (680-792),L4-DECODER,SURVIVES,BOTH,,"THE scorer-independent core: rank the cube, choose the top, apply the G4/C1 spelling-pin, confidence = chosen - best DIFFERENT (root,quality) EXCLUDING spelling-resolved siblings, build alternatives (topK cap, union the prevailing). Edge: empty candidates -> abstain + uncertain. Publishes SliceChord (chosen/confidence/uncertain/alternatives). The ARCHITECTURE contract centrepiece."
function,src/composing/analysis/chord/chordslicedecoder.cpp,794,classifyMembership,classifyMembership (794-855),L4-DECODER,SURVIVES,CORPUS,,"Per-pc chord-tone/non-chord-tone: a template tone OR >=1 focal note structural-extension -> CT; every focal note embellishment-like + not template -> NCT; + implausibilityPenalty (a Tier-1 template tone, OR an extra structural note). Publishes MembershipResult. NCT non-empty fires on 5.8% of slices."
function,src/composing/analysis/chord/chordslicedecoder.cpp,857,templateTonePresenceCount,templateTonePresenceCount (857-870),L4-DECODER,SURVIVES,BOTH,,Distinct focal pcs that are template tones of the chosen chord — the sufficiency gate's source (the phantom-root guard). Pure. BOUNDARY: bassIsTemplateChordTone (oracle).
function,src/composing/analysis/chord/chordslicedecoder.cpp,872,computeConfidence,computeConfidence (872-906),L4-DECODER,SURVIVES,CORPUS,,"G6 composite = min(marginCertainty, sufficiency, cleanliness) — low when ANY axis is low. REPRESENTATIONAL (drives no decision). Edge: focalPcs==0 -> cleanliness 1.0; required==0 -> sufficiency 0. composite<0.5 on 55.7% of slices."
function,src/composing/analysis/chord/chordslicedecoder.cpp,908,nameOpenQuestion,nameOpenQuestion (908-976),L4-DECODER,SURVIVES,CORPUS,,G6: names the open axis (Root/Quality) + the ambiguity kind from chosen vs best-different + sufficient/wasTransition. Edge: rootless chosen -> Root/InsufficientEvidence; no different reading -> Quality/CloseReading. Consumes sameCollectionOverFocal + relativePair. Fires: Root 59.6% / Quality 2.9%. NOTE: OpenQuestion::NoteMembership is never produced (reserved this increment); AmbiguityKind::SymmetricRotation never fires on the corpus (see line 967).
function,src/composing/analysis/chord/chordslicedecoder.cpp,978,applyCommitDecision,applyCommitDecision (978-1070),L4-DECODER,SURVIVES,BOTH,,"The G1 trichotomy: Commit (sufficient && marginOk); Inherit (insufficient && CONTINUES prevailing via the ladder, gated on nextChord==prevailing) else the template-only base at a boundary; Abstain (else). Edge: enableCommitDecision OFF -> no-op (pre-G1); no scorable -> abstain. Corpus: Commit 34.4% / Inherit 3.0% / Abstain 62.6%."
function,src/composing/analysis/chord/chordslicedecoder.cpp,1093,buildSliceWork,buildSliceWork (1093-1116),L4-DECODER,SURVIVES,BOTH,,Per-slice cache across the two passes: adaptiveWindow -> candidatesForWindow -> focal/window FocalNote streams -> pass1 provisional (context-free). Consumes decideSlice. Pass-1 cost paid once per slice (no O(N^2)).
function,src/composing/analysis/chord/chordslicedecoder.cpp,1121,finalizeSlice,finalizeSlice (1121-1154),L4-DECODER,SURVIVES,CORPUS,,Pass 2: apply the membership penalty to the candidate scores -> decideSlice -> applyCommitDecision -> completeChosenExtensions -> classify the chosen chord's focal membership. Publishes the final SliceChord.
function,src/composing/analysis/chord/chordslicedecoder.cpp,1163,decodeWindowed,decodeWindowed (1163-1232),L4-DECODER,SURVIVES,CORPUS,,"The decode/re-decode driver over [outFirst,outLast]: membership-OFF = pass-1-only incumbent chain (Increment-A); membership-ON = two-pass (pass-1 over the wider span [outFirst-2..outLast+1] -> pass-2 with prevC/nextC + the prevailing chain). Edge: T==0 / out-of-range guards. The incremental-contract core (redecodeRange reproducibility). Corpus: membership-ON path (default)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,1236,decode,decode (1236-1251),L4-DECODER,SURVIVES,CORPUS,,"Full-pipeline entry: decodeWindowed(0, T-1). The wired diagnostic caller (batch_analyze --decode-chords / --dump-fullspine). 29080 slices over the Baroque corpus."
function,src/composing/analysis/chord/chordslicedecoder.cpp,1253,redecodeRange,redecodeRange (1253-1265),L4-DECODER,SURVIVES,TEST,,Sub-range re-decode under the incremental contract (context-free ranking; bounded look-back for an inherit chain). DORMANT staging: no corpus/production caller uses it (decode() is used); reached only by Fixture_RedecodeRange_MatchesFullDecode. Declared dormant in ARCHITECTURE (built-but-inert staging).
function,src/composing/analysis/chord/chordslicedecoder.cpp,1274,decisionIsRelevant,decisionIsRelevant (1274-1277),L4-DECODER,SURVIVES,TEST,,Bounded-context: a truncated edge requests only when the decision is NOT already a full-margin Commit. DORMANT: reached only via decodeSelection (EDGE tests); enableEdgeExtension default false.
function,src/composing/analysis/chord/chordslicedecoder.cpp,1282,edgeClampAtSlice,edgeClampAtSlice (1282-1291),L4-DECODER,SURVIVES,TEST,,Bounded-context: reuses adaptiveWindow's clamp report to detect a starved selection-edge window. DORMANT: decodeSelection helper (EDGE tests only).
function,src/composing/analysis/chord/chordslicedecoder.cpp,1297,edgeIncrementTicks,edgeIncrementTicks (1297-1304),L4-DECODER,SURVIVES,TEST,,"Bounded-context: the edge-extension increment in ticks (slices x max(edge-slice-width, one beat)). Efficiency knob only. DORMANT: decodeSelection helper (EDGE tests only)."
function,src/composing/analysis/chord/chordslicedecoder.cpp,1308,decodeSelection,decodeSelection (1308-1416),L4-DECODER,SURVIVES,TEST,,The bounded-context SELECTION decode + starved-window edge-extension requester loop. DORMANT: header states 'no production consumer'; reached only by EDGE1-7. enableEdgeExtension default false => byte-identical to a plain decode of the selection. Declared dormancy (cowork_bounded_context_design.md names the future selection/engagement consumer). SETS the clippedBySelectionEdge/cueDenied provenance (unpublished on every live route).
function,src/composing/analysis/chord/chordslicedecoder.h,353,bassIsRoot,bassIsRoot (353-353),L4-DECODER,SURVIVES,BOTH,,ChordSliceCandidate::bassPc==rootPc (inline). Published: --decode-chords emits bassIsRoot per region + per alternative.
function,src/composing/analysis/chord/chordslicedecoder.h,481,pc,pc (481-481),L4-DECODER,SURVIVES,BOTH,,FocalNote::pc() = ((pitch%12)+12)%12 (inline). Pure.
crosslayer,src/composing/analysis/chord/chordslicedecoder.cpp,23,chordslicedecoder.h,#include chordslicedecoder.h -> external,L4-DECODER,SURVIVES,n/a,,Self header. SURVIVES.
crosslayer,src/composing/analysis/chord/chordslicedecoder.cpp,30,function/harmonicfunctionlayer.h,#include function/harmonicfunctionlayer.h -> function,L4-DECODER,SURVIVES,n/a,,"BOUNDARY/FINDING-CANDIDATE: the L4 decoder includes an L5-named TU (function/harmonicfunctionlayer.h) for ScoringSnapshot/ScoringCell (the scorer's CUBE) + bassIsTemplateChordTone (the chord-tone oracle). These are L4-scorer concerns declared in an L5-named header -> a layer-HOME question, deferred to the scoring-oracle / L5 audit (likely coincides with the harmonicfunctionlayer rename). No duplication (correct reuse of the one cube + one chord-tone oracle)."
crosslayer,src/composing/analysis/chord/chordslicedecoder.cpp,31,composing/analysis/engravingbridge/regiontonecollector.h,#include composing/analysis/engravingbridge/regiontonecollector.h -> engravingbridge,L4-DECODER,SURVIVES,n/a,,weightedPcView — the shared INDEXED L1.5 pc view. Correct shared-primitive reuse (#6-clean).
crosslayer,src/composing/analysis/chord/chordslicedecoder.cpp,32,composing/analysis/engravingbridge/spellingview.h,#include composing/analysis/engravingbridge/spellingview.h -> engravingbridge,L4-DECODER,SURVIVES,n/a,,"lineOfFifths/kNoLineOfFifths — the SHARED per-note spelling interpreter for G4/C1. Correct shared-primitive reuse (one spelling reader) — the tpc-fold unification residual (a SECOND tpc reader in the legacy scorer) is documented in ARCHITECTURE and belongs to the engage step, not the decoder."
crosslayer,src/composing/analysis/chord/chordslicedecoder.cpp,33,composing/analysis/scoreharvest/metricweights.h,#include composing/analysis/scoreharvest/metricweights.h -> scoreharvest,L4-DECODER,SURVIVES,n/a,,regionMetricWeightForOnsetTick — the shared indexed per-note beat weight (L1.5). Correct shared-primitive reuse.
crosslayer,src/composing/analysis/chord/chordslicedecoder.h,146,chordanalyzer.h,#include chordanalyzer.h -> external,L4-DECODER,SURVIVES,n/a,,"The scorer CONTRACT surface (ChordQuality, ChordAnalyzerPreferences, RuleBasedChordAnalyzer, ChordAnalysisResult, ChordIdentity, kTemplateCount/kTemplateIntervals, deriveChordExtensions). Correct upward dependency on the one scorer. BOUNDARY: internals owned by the oracle session."
crosslayer,src/composing/analysis/chord/chordslicedecoder.h,147,composing/analysis/notemodel/note_model.h,#include composing/analysis/notemodel/note_model.h -> notemodel,L4-DECODER,SURVIVES,n/a,,L1 note model (certified). Correct upward dependency.
crosslayer,src/composing/analysis/chord/chordslicedecoder.h,148,composing/analysis/slicing/slicer.h,#include composing/analysis/slicing/slicer.h -> slicing,L4-DECODER,SURVIVES,n/a,,L2 change-point slicer (certified). Correct upward dependency.
field,src/composing/analysis/chord/chordslicedecoder.h,165,ChordSliceDecoderPreferences.contextSlices,int contextSlices = 1;,L4-DECODER,SURVIVES,n/a,,Setting: base window half-width (seed=1). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,169,ChordSliceDecoderPreferences.topK,int topK = 6;,L4-DECODER,SURVIVES,n/a,,Setting: kept alternatives (seed=6). Corpus: cap binds on 100% of slices. Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,174,ChordSliceDecoderPreferences.uncertaintyMargin,double uncertaintyMargin = 0.5;,L4-DECODER,SURVIVES,n/a,,Setting: the uncertain/abstain margin (seed=0.5). Drives 62.6% abstain on Baroque. Not in param_manifest (FINDING cluster).
field,src/composing/analysis/chord/chordslicedecoder.h,182,ChordSliceDecoderPreferences.minDistinctPcs,int minDistinctPcs = 1;,L4-DECODER,SURVIVES,n/a,,Setting: analyzeChord distinct-pc floor relaxed to 1 for thin slices (production untouched — applied to a prefs COPY). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,196,ChordSliceDecoderPreferences.maxContextSlices,int maxContextSlices = 3;,L4-DECODER,SURVIVES,n/a,,Setting: adaptive-window upper bound (seed=3). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,199,ChordSliceDecoderPreferences.minHarmonyPcs,int minHarmonyPcs = 3;,L4-DECODER,SURVIVES,n/a,,Setting: distinct-pc target that stops lazy extension (seed=3). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,215,ChordSliceDecoderPreferences.enableMembership,bool enableMembership = true;,L4-DECODER,SURVIVES,n/a,,Mode switch (default true). OFF-arm (pass-1-only) is TEST-only on the corpus route.
field,src/composing/analysis/chord/chordslicedecoder.h,219,ChordSliceDecoderPreferences.twoPass,bool twoPass = true;,L4-DECODER,SURVIVES,n/a,,Mode switch (default true) — the neighbour-aware second pass.
field,src/composing/analysis/chord/chordslicedecoder.h,227,ChordSliceDecoderPreferences.membershipSalienceThreshold,double membershipSalienceThreshold = 0.55;,L4-DECODER,SURVIVES,n/a,,Setting: Tier-3 salience threshold (seed=0.55). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,230,ChordSliceDecoderPreferences.membershipReferenceDurationQn,double membershipReferenceDurationQn = 1.0;,L4-DECODER,SURVIVES,n/a,,Setting: full-length duration reference for salience (seed=1.0). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,238,ChordSliceDecoderPreferences.membershipPenaltyWeight,double membershipPenaltyWeight = 0.6;,L4-DECODER,SURVIVES,n/a,,Setting: membership->selection feedback strength (seed=0.6; 0 disables re-rank). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,242,ChordSliceDecoderPreferences.stepwiseGapToleranceTicks,int stepwiseGapToleranceTicks = 0;,L4-DECODER,SURVIVES,n/a,,Setting: adjacency tolerance for the stepwise test (seed=0). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,256,ChordSliceDecoderPreferences.enableCommitDecision,bool enableCommitDecision = true;,L4-DECODER,SURVIVES,n/a,,Mode switch (default true). OFF-arm (always-commit) is TEST-only on the corpus route.
field,src/composing/analysis/chord/chordslicedecoder.h,263,ChordSliceDecoderPreferences.sufficiencyChordTones,int sufficiencyChordTones = 3;,L4-DECODER,SURVIVES,n/a,yes,"Setting: the sufficiency floor (seed=3). The ONLY decoder constant in tools/param_manifest.json (G11, family=abstention, status=frozen, dormant)."
field,src/composing/analysis/chord/chordslicedecoder.h,283,ChordSliceDecoderPreferences.enableSpellingPin,bool enableSpellingPin = true;,L4-DECODER,SURVIVES,n/a,,Mode switch (default true). OFF-arm is TEST-only on the corpus route.
field,src/composing/analysis/chord/chordslicedecoder.h,303,ChordSliceDecoderPreferences.enableEdgeExtension,bool enableEdgeExtension = false;,L4-DECODER,SURVIVES,n/a,,Mode switch (default FALSE) — the dormant bounded-context edge extension. Never true on any live route.
field,src/composing/analysis/chord/chordslicedecoder.h,308,ChordSliceDecoderPreferences.maxEdgeExtendSteps,int maxEdgeExtendSteps = 4;,L4-DECODER,SURVIVES,n/a,,Setting: edge-extension hard bound (seed=4). DORMANT (edge extension off). Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,314,ChordSliceDecoderPreferences.edgeExtendIncrementSlices,int edgeExtendIncrementSlices = 1;,L4-DECODER,SURVIVES,n/a,,Setting: edge-extension increment in slices (seed=1). DORMANT. Not in param_manifest.
field,src/composing/analysis/chord/chordslicedecoder.h,329,ChordSliceCandidate.rootPc,int rootPc = -1;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (--decode-chords + fullspine): rootPitchClass.
field,src/composing/analysis/chord/chordslicedecoder.h,330,ChordSliceCandidate.rootTpc,int rootTpc = -1;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED: the enharmonic root spelling (into the formatter's chordSymbol; L4->L5 identity).
field,src/composing/analysis/chord/chordslicedecoder.h,331,ChordSliceCandidate.bassPc,int bassPc = -1;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (--decode-chords + fullspine): bassPitchClass / bassIsRoot.
field,src/composing/analysis/chord/chordslicedecoder.h,332,ChordSliceCandidate.bassTpc,int bassTpc = -1;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED: the enharmonic bass spelling (formatter / L4->L5 identity).
field,src/composing/analysis/chord/chordslicedecoder.h,333,ChordSliceCandidate.quality,ChordQuality quality = ChordQuality::Unknown;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (--decode-chords + fullspine): quality.
field,src/composing/analysis/chord/chordslicedecoder.h,334,ChordSliceCandidate.tiePriority,int tiePriority = -1;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED: the template index — locates the cell in the cube and is the sufficiency-denominator source; carried in the identity.
field,src/composing/analysis/chord/chordslicedecoder.h,335,ChordSliceCandidate.score,double score = 0.0;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (--decode-chords + fullspine): chordScore + the alternative scores (the ranking value).
field,src/composing/analysis/chord/chordslicedecoder.h,349,ChordSliceCandidate.extensions,uint32_t extensions = 0;          ///< ChordIdentity.extensions bitmask (see chord Extension enum),L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired); l4ChosenExtensions / alternative extensions (the L4->L5 colour carry — seventh/9/11/13/aug6 markers).
field,src/composing/analysis/chord/chordslicedecoder.h,350,ChordSliceCandidate.naturalFifthPresent,bool naturalFifthPresent = false; ///< P5 above root sounding (It+6 vs Ger+6),L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired); the It+6-vs-Ger+6 nationality signal (id.naturalFifthPresent in the L5 chain).
field,src/composing/analysis/chord/chordslicedecoder.h,351,ChordSliceCandidate.extensionsKnown,bool extensionsKnown = false;     ///< true = extensions/naturalFifthPresent are a real extraction,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired); l4ChosenExtKnown/extKnown — the HONEST-CARRY flag (a consumer reads extensions ONLY when known). Corpus: known 16777 / honest-unknown 12303 per region.
field,src/composing/analysis/chord/chordslicedecoder.h,405,SliceConfidence.margin,double margin = 0.0;                ///< raw margin to the best DIFFERENT reading (== SliceChord.confidence),L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): l4Margin (== SliceChord.confidence).
field,src/composing/analysis/chord/chordslicedecoder.h,406,SliceConfidence.sufficiency,"double sufficiency = 0.0;           ///< present / required template tones of the chosen chord, [0,1]",L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): l4Sufficiency.
field,src/composing/analysis/chord/chordslicedecoder.h,407,SliceConfidence.membershipCleanliness,"double membershipCleanliness = 1.0; ///< chord-tone fraction of the focal pitch classes, [0,1]",L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): l4Cleanliness.
field,src/composing/analysis/chord/chordslicedecoder.h,408,SliceConfidence.composite,"double composite = 0.0;             ///< combined certainty [0,1] = min(marginCertainty, sufficiency, cleanliness)",L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): l4Composite (consumed as cc.compositeConfidence by the progression recognizer). <0.5 on 55.7% of slices.
field,src/composing/analysis/chord/chordslicedecoder.h,418,OpenQuestionLabel.question,OpenQuestion question = OpenQuestion::None;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): openQuestion (Root 59.6% / Quality 2.9% / None).
field,src/composing/analysis/chord/chordslicedecoder.h,419,OpenQuestionLabel.ambiguity,AmbiguityKind ambiguity = AmbiguityKind::None;,L4-DECODER,PUBLISHED,n/a,,PUBLISHED (fullspine surface; consumed by the L5 chain — declared dormancy: the decoder is not yet wired): ambiguityKind. All kinds fire EXCEPT SymmetricRotation (0% — see the never-fires finding).
