process_order,row_id,kind,scope,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason
11,literal|src/composing/analysis/types/analysistypes.h|833|1104,literal,satellites,src/composing/analysis/types/analysistypes.h,833,0.5 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
12,literal|src/composing/analysis/types/analysistypes.h|852|1136,literal,satellites,src/composing/analysis/types/analysistypes.h,852,5.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
13,branch|src/composing/analysis/chord/chordslicedecoder.cpp|1246|1773,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,1246,if in decode,,SURVIVES,its guarded predicate,control flow only,decode,null/empty/range handled by the enclosing guard,,Branch (if) in decode: if (T == 0) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
14,function|src/composing/analysis/chord/chordanalyzer.cpp|1318|38,function,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1318,templateIntervalsVec(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,extraction-over-capture,"Inventory 'function' row at a templates[] array initializer call templateIntervalsVec(N), not a definition (the over-capture-biased regex, declared in manifest.extraction_method). The single real definition is chordanalyzer.cpp:523 and SURVIVES; this row names no distinct entity."
15,branch|src/composing/analysis/chord/chordanalyzer.h|161|1644,branch,oracle,src/composing/analysis/chord/chordanalyzer.h,161,if in mergeChordAnalysisTones,,SURVIVES,its guarded predicate,control flow only,mergeChordAnalysisTones,null/empty/range handled by the enclosing guard,,Branch (if) in mergeChordAnalysisTones: if (!mergedTone) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
16,branch|src/composing/analysis/chord/chordslicedecoder.cpp|533|1695,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,533,if in populateForwardContract,,SURVIVES,its guarded predicate,control flow only,populateForwardContract,null/empty/range handled by the enclosing guard,,Branch (if) in populateForwardContract: if (!focal.empty()) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
17,literal|src/composing/analysis/chord/chordanalyzer.cpp|515|275,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,515,10 in scoreExtraNotes,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing scoreExtraNotes,n/a (compile-time constant),,"Constant 10 in scoreExtraNotes: double extensionFactor = (rel == 10 || rel == 11) ? kExtensionFactor7th — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
18,literal|src/composing/analysis/types/analysistypes.h|658|1039,literal,satellites,src/composing/analysis/types/analysistypes.h,658,3.00 in <file-scope>,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
19,literal|src/composing/analysis/chord/chordanalyzer.cpp|1462|508,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1462,6 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 6 in analyzeChord: case ChordQuality::Diminished: thirdInterval = 3; fifthInterval = 6; break; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
20,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|841|890,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,841,4 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),duplicated-parent-mapping,"CHR_DIATONIC_PARENT identity row: correct, but the 21→diatonic-parent mapping is hardcoded here AND at csfTonicizationParent (:799) AND at DIATONIC_PARENT_INDEX (chordanalyzer.cpp:1460) — three copies (principle 6)."
21,literal|src/composing/analysis/chord/chordslicedecoder.cpp|729|656,literal,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,729,12 in decideSlice,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing decideSlice,n/a (compile-time constant),,"Constant 12 in decideSlice: && c.rootPc >= 0 && c.rootPc < 12 && sym.isRotationPc[c.rootPc]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
22,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|795|856,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,795,6 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),duplicated-scale-table,csfTonicizationScales Locrian: correct value; duplicated 7-mode table.
23,function|src/composing/analysis/chord/chordslicedecoder.cpp|223|70,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,223,isChordToneOfAny(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function isChordToneOfAny(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
24,literal|src/composing/analysis/chord/analysisutils.h|105|165,literal,oracle,src/composing/analysis/chord/analysisutils.h,105,4 in collectionMask,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing collectionMask,n/a (compile-time constant),,"Constant 4 in collectionMask: static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 }; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
25,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|638|1987,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,638,case in csfCoreIntervals,,SURVIVES,its guarded predicate,control flow only,csfCoreIntervals,null/empty/range handled by the enclosing guard,,Branch (case) in csfCoreIntervals: case ChordQuality::Augmented: — straightforward guarded control flow; edge cases handled; no correctness issue observed.
26,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|141|716,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,141,8 in csfPitchClassNameFromTpc,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfPitchClassNameFromTpc,n/a (compile-time constant),,"Constant 8 in csfPitchClassNameFromTpc: || (keySignatureFifths == 1 && pc == 8) — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
27,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|1003|2045,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,1003,if in nashvilleExtensionSuffix,,SURVIVES,its guarded predicate,control flow only,nashvilleExtensionSuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in nashvilleExtensionSuffix: if (hasExtension(result.identity.extensions, Extension::SharpFifth))   — straightforward guarded control flow; edge cases handled; no correctness issue observed."
28,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|315|1883,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,315,else-if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (else-if) in csfQualitySuffix: } else if (hasEleventh) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
29,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|926|909,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,926,7 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),,"Constant 7 in formatRomanNumeral: const bool isCandidateV    = isDom7 && (upAFifth == 7); — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
30,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|559|1955,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,559,if in csfDiatonicRoman,,SURVIVES,its guarded predicate,control flow only,csfDiatonicRoman,null/empty/range handled by the enclosing guard,,Branch (if) in csfDiatonicRoman: if (quality == ChordQuality::Diminished && hasExtension(r.identity.ext — straightforward guarded control flow; edge cases handled; no correctness issue observed.
31,literal|src/composing/analysis/types/analysistypes.h|874|1174,literal,satellites,src/composing/analysis/types/analysistypes.h,874,3.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
32,literal|src/composing/analysis/chord/analysisutils.h|105|168,literal,oracle,src/composing/analysis/chord/analysisutils.h,105,9 in collectionMask,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing collectionMask,n/a (compile-time constant),,"Constant 9 in collectionMask: static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 }; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
33,branch|src/composing/analysis/chord/chordanalyzer.cpp|395|1516,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,395,if in extensionBits,,SURVIVES,its guarded predicate,control flow only,extensionBits,null/empty/range handled by the enclosing guard,,"Branch (if) in extensionBits: if (ext.hasNinthSharp)        setExtension(e, Extension::SharpNinth); — straightforward guarded control flow; edge cases handled; no correctness issue observed."
34,field|src/composing/analysis/types/analysistypes.h|587|1397,field,satellites,src/composing/analysis/types/analysistypes.h,587,KeyModeAnalyzerPreferences::noteWeightCap,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
35,field|src/composing/analysis/types/analysistypes.h|613|1405,field,satellites,src/composing/analysis/types/analysistypes.h,613,KeyModeAnalyzerPreferences::fifthWeight,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
36,literal|src/composing/analysis/chord/chordanalyzer.cpp|234|218,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,234,5 in categorizeExtraNote,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing categorizeExtraNote,n/a (compile-time constant),,"Constant 5 in categorizeExtraNote: case 5:  // 11 — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
37,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|842|896,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,842,5 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),duplicated-parent-mapping,CHR_DIATONIC_PARENT melodic-minor row: correct; 21→parent mapping duplicated ×3.
38,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|259|1848,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,259,ternary in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (ternary) in csfQualitySuffix: suffix = hasNinthFlat ? ""addb9"" : hasNinthSharp ? ""add#9"" : ""add9""; — straightforward guarded control flow; edge cases handled; no correctness issue observed."
39,literal|src/composing/analysis/types/analysistypes.h|115|952,literal,satellites,src/composing/analysis/types/analysistypes.h,115,2 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 2 in <file-scope>: Deep      = 2,  ///< reserved (Stage 3.2+) — wide / exact DP; NOT yet active (be — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
40,function|src/composing/analysis/chord/chordanalyzer.cpp|268|7,function,oracle,src/composing/analysis/chord/chordanalyzer.cpp,268,detectExtensions(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function detectExtensions(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
41,field|src/composing/analysis/chord/chordanalyzer.h|261|1203,field,oracle,src/composing/analysis/chord/chordanalyzer.h,261,ChordIdentity::score,,SURVIVES,its default initializer,ChordIdentity::score,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordIdentity::score: a published struct member with a documented default; consumed downstream; SURVIVES.
42,literal|src/composing/analysis/chord/chordanalyzer.cpp|1428|495,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1428,8 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 8 in analyzeChord: const double fifthW = pcWeight[static_cast<size_t>((rootPc + 8) % 12)]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
43,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|888|2017,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,888,if in formatRomanNumeral,,SURVIVES,its guarded predicate,control flow only,formatRomanNumeral,null/empty/range handled by the enclosing guard,l4l5-boundary,"Augmented-sixth (It/Fr/Ger+6) detection: correct music theory, but produces L5-flavored FUNCTIONAL output on an L4 TU (the file-table's formatRomanNumeral boundary note); layer-home question is a file-level item, not a code defect."
44,branch|src/composing/analysis/chord/chordslicedecoder.cpp|216|1673,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,216,if in adaptiveWindow,,SURVIVES,its guarded predicate,control flow only,adaptiveWindow,null/empty/range handled by the enclosing guard,,Branch (if) in adaptiveWindow: if (clampedLoOut) { *clampedLoOut = (t - c < 0); } — straightforward guarded control flow; edge cases handled; no correctness issue observed.
45,literal|src/composing/analysis/chord/chordslicedecoder.cpp|43|625,literal,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,43,1.0e3 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 1.0e3 in <file-scope>: constexpr double kNoCompetitorConfidence = 1.0e3; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
46,literal|src/composing/analysis/types/analysistypes.h|843|1118,literal,satellites,src/composing/analysis/types/analysistypes.h,843,5.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
47,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|360|1903,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,360,case in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (case) in csfQualitySuffix: case ChordQuality::Suspended4: — straightforward guarded control flow; edge cases handled; no correctness issue observed.
48,literal|src/composing/analysis/chord/chordanalyzer.h|92|553,literal,oracle,src/composing/analysis/chord/chordanalyzer.h,92,2 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 2 in <file-scope>: { { 0, 2, 7, -1 } },   // 11 Sus2          {0,2,7} — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
49,function|src/composing/analysis/chord/chordanalyzer.h|552|57,function,oracle,src/composing/analysis/chord/chordanalyzer.h,552,advanceTemporalContext(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function advanceTemporalContext(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
50,branch|src/composing/analysis/chord/chordanalyzer.cpp|648|1552,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,648,ternary in nonBassAdjustment,,SURVIVES,its guarded predicate,control flow only,nonBassAdjustment,null/empty/range handled by the enclosing guard,,Branch (ternary) in nonBassAdjustment: return waiverApplies ? 0.0 : -kNonBassPenalty; — straightforward guarded control flow; edge cases handled; no correctness issue observed.
51,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|325|1885,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,325,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (if) in csfQualitySuffix: if (hasMaj7) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
52,branch|src/composing/analysis/chord/chordanalyzer.cpp|1559|1627,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1559,ternary in analyzeChord,,SURVIVES,its guarded predicate,control flow only,analyzeChord,null/empty/range handled by the enclosing guard,,Branch (ternary) in analyzeChord: fnCtx.bassIsStepwiseToNext       = context ? context->bassIsStepwiseTo — straightforward guarded control flow; edge cases handled; no correctness issue observed.
53,field|src/composing/analysis/types/analysistypes.h|665|1425,field,satellites,src/composing/analysis/types/analysistypes.h,665,KeyModeAnalyzerPreferences::modePriorMixolydianB6,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
54,field|src/composing/analysis/decode/chordpathdecoder.h|70|1346,field,decoder,src/composing/analysis/decode/chordpathdecoder.h,70,ChordPathNode::committed,,SURVIVES,its default initializer,ChordPathNode::committed,downstream readers of the struct,sentinel default (-1/false/0) documented,declared-dormant,"ChordPathNode::committed (+alternatives/winnerScore/winnerMargin) is recorded but path() is read by no one YET; the future consumer is NAMED (Stage-6 functional labeling) — declared dormancy under the fact-publication corollary, not siloed waste."
55,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|841|888,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,841,2 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),duplicated-parent-mapping,CHR_DIATONIC_PARENT identity row: correct; 21→parent mapping duplicated ×3.
56,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|102|1792,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,102,if in csfPitchClassNameFromTpc,,SURVIVES,its guarded predicate,control flow only,csfPitchClassNameFromTpc,null/empty/range handled by the enclosing guard,,Branch (if) in csfPitchClassNameFromTpc: if (tpc >= 0) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
57,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|567|1958,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,567,if in csfDiatonicRoman,,SURVIVES,its guarded predicate,control flow only,csfDiatonicRoman,null/empty/range handled by the enclosing guard,,Branch (if) in csfDiatonicRoman: if (level > 0) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
58,literal|src/composing/analysis/chord/chordslicedecoder.h|478|691,literal,decoder,src/composing/analysis/chord/chordslicedecoder.h,478,1.0 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 1.0 in <file-scope>: double metricWeight = 1.0; ///< normalised beat weight at onset [0.5,1.0] — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
59,literal|src/composing/analysis/types/analysistypes.h|438|994,literal,satellites,src/composing/analysis/types/analysistypes.h,438,2.0 in bounds,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing bounds,n/a (compile-time constant),,"Constant 2.0 in bounds: { ""sameRootInversionBonus"",                    { 0.0, 2.0 } }, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
60,function|src/composing/analysis/chord/chordslicedecoder.cpp|1163|94,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,1163,decodeWindowed(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function decodeWindowed(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
61,field|src/composing/analysis/chord/chordslicedecoder.h|331|1305,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,331,ChordSliceCandidate::bassPc,,SURVIVES,its default initializer,ChordSliceCandidate::bassPc,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordSliceCandidate::bassPc: a published struct member with a documented default; consumed downstream; SURVIVES.
62,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|794|853,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,794,10 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),duplicated-scale-table,csfTonicizationScales Aeolian: correct value; duplicated 7-mode table.
63,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|232|1826,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,232,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in csfQualitySuffix: if (hasEleventhSharp) { suffix += ""#11""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
64,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|269|1853,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,269,case in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,Branch (case) in csfQualitySuffix: case ChordQuality::Minor: — straightforward guarded control flow; edge cases handled; no correctness issue observed.
65,branch|src/composing/analysis/chord/chordslicedecoder.cpp|1012|1756,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,1012,if in applyCommitDecision,,SURVIVES,its guarded predicate,control flow only,applyCommitDecision,null/empty/range handled by the enclosing guard,,Branch (if) in applyCommitDecision: if (sufficient && marginOk) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
66,branch|src/composing/analysis/chord/chordslicedecoder.cpp|588|1698,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,588,if in symmetricRotationSet,,SURVIVES,its guarded predicate,control flow only,symmetricRotationSet,null/empty/range handled by the enclosing guard,,Branch (if) in symmetricRotationSet: if (chosen.quality == ChordQuality::Augmented) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
