file,kind,line,ident,func,layer,verdict_class,verdict,in_param_manifest,reason
src/composing/analysis/key/keymodeanalyzer.cpp,function,501,modeIsCompatibleWithDeclared,modeIsCompatibleWithDeclared,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,519,keySignatureFifthsForKey,keySignatureFifthsForKey,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,530,keyModeSignatureFifths,keyModeSignatureFifths,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,542,analyzeKeyMode,analyzeKeyMode,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,function,838,keyModeScaleIntervals,keyModeScaleIntervals,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,36,normalizedConfidenceSigmoid,normalizedConfidenceSigmoid,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,50,keyModeIndex,keyModeIndex,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,53,keyModeFromIndex,keyModeFromIndex,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,60,keyModeIsMajor,keyModeIsMajor,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,81,keyModeTonicOffset,keyModeTonicOffset,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,function,114,isMajor,isMajor,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeformatting.cpp,function,31,keyModeTonicName,keyModeTonicName,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeformatting.cpp,function,108,keyModeSuffix,keyModeSuffix,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,52,candidateIndex,candidateIndex,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,62,cofDistance,cofDistance,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,78,buildSliceContext,buildSliceContext,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,94,stateToResult,stateToResult,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,111,stateForCandidate,stateForCandidate,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,127,buildLattice,buildLattice,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,177,stateIndexForResult,stateIndexForResult,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,201,populateEmissionConfidence,populateEmissionConfidence,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,231,changeCost,changeCost,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,242,decodeLattice,decodeLattice,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,400,decode,decode,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodesequence.cpp,function,416,redecodeRange,redecodeRange,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,55,fallbackResult,fallbackResult,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,71,ionianScaleSet,ionianScaleSet,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,107,partialSignatureCorrection,partialSignatureCorrection,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,195,promoteWinnerInPlace,promoteWinnerInPlace,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,206,resolveKeySignatureContext,resolveKeySignatureContext,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keyresolver.cpp,function,255,resolveKeyAndModeRanked,resolveKeyAndModeRanked,L3,code,RETIRES,,SURVIVES but R5-SHRINKS: the per-window argmax + hysteresis retire (superseded by the decoder change cost); resolveKeySignatureContext + the insufficient-PCs fallback SURVIVE as the S2 seed + P4 tick-local + grading baseline. #12-check at deletion: KEEP the shared signature/declared-mode/partial-correction; drop the hysteresis.
src/composing/analysis/key/modepriorpresets.cpp,function,27,modePriorPresets,modePriorPresets,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/harmonicrhythm.h,function,55,toExtensionsSnapshot,toExtensionsSnapshot,L3-MIXED,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/regionanalyzer.cpp,function,72,makeChordPathNode,makeChordPathNode,L4,code,DEFERRED,,L4 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,92,measureTicksBefore,measureTicksBefore,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/regionanalyzer.cpp,function,116,coalesceShortSameRootRuns,coalesceShortSameRootRuns,L4,code,DEFERRED,,L4 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,209,tryCollapseSameChordRegion,tryCollapseSameChordRegion,L4,code,DEFERRED,,L4 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,239,absorbShortRegions,absorbShortRegions,L4,code,DEFERRED,,L4 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,274,inheritRegionKeyContext,inheritRegionKeyContext,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/regionanalyzer.cpp,function,284,backfillNextRootPc,backfillNextRootPc,L5,code,DEFERRED,,L5 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,305,restampBassMinorSeventhAfterMerge,restampBassMinorSeventhAfterMerge,L4,code,DEFERRED,,L4 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,336,denseBoundaryTicks,denseBoundaryTicks,L2,code,DEFERRED,,L2 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/region/regionanalyzer.cpp,function,396,applyJointKeyWiring,applyJointKeyWiring,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/regionanalyzer.cpp,function,677,sameKey,sameKey,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/region/regionanalyzer.cpp,function,559,analyzeRegions,analyzeRegions,L3-seam+L4-loop,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/cadencekeyanchor.cpp,function,37,detectAuthenticCadences,detectAuthenticCadences,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/cadencekeyanchor.cpp,function,123,aggregateGlobalAnchor,aggregateGlobalAnchor,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,44,jkdInCollectionFraction,jkdInCollectionFraction,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,60,jkdRootDiatonic,jkdRootDiatonic,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,94,jkdChordPinned,jkdChordPinned,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,144,setJointKeyWiringEnabled,setJointKeyWiringEnabled,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,145,jointKeyWiringEnabled,jointKeyWiringEnabled,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.cpp,function,148,decideJointKey,decideJointKey,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/localmodulationdetector.cpp,function,59,lmdRootIsDiatonic,lmdRootIsDiatonic,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/localmodulationdetector.cpp,function,65,lmdOutOfCollectionCount,lmdOutOfCollectionCount,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/localmodulationdetector.cpp,function,81,lmdRegionConsistent,lmdRegionConsistent,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/localmodulationdetector.cpp,function,95,detectLocalModulations,detectLocalModulations,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/sectionanalyzer.cpp,function,75,distinctPitchClassCount,distinctPitchClassCount,util,code,DEFERRED,,util part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/section/sectionanalyzer.cpp,function,90,stabilizeHarmonicRegionsForDisplay,stabilizeHarmonicRegionsForDisplay,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/sectionanalyzer.cpp,function,174,analyzeSection,analyzeSection,L3-seam+L4-gap,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/sectioncadencedetection.cpp,function,49,hasAssertiveKeyConfidence,hasAssertiveKeyConfidence,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/sectioncadencedetection.cpp,function,59,detectCadences,detectCadences,L5,code,DEFERRED,,L5 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/section/sectioncadencedetection.cpp,function,144,detectPivotChords,detectPivotChords,L5,code,DEFERRED,,L5 part of a mixed file — deferred to the owning layer's audit (split recorded)
src/composing/analysis/types/analysistypes.h,function,425,bounds,bounds,L3-MIXED,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/types/analysistypes.h,function,815,bounds,bounds,L3-MIXED,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,37,exp,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,114,isMajor,KeyModeAnalysisResult,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,189,keyModeScaleIntervals,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,195,ionianTonicPcForMode,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,203,keySignatureFifthsForKey,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,210,keyModeSignatureFifths,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,216,keyModeTonicName,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.h,decl,220,keyModeSuffix,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/modepriorpresets.h,decl,74,modePriorPresets,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/cadencekeyanchor.h,decl,156,aggregateGlobalAnchor,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.h,decl,214,setJointKeyWiringEnabled,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/section/jointkeydecision.h,decl,215,jointKeyWiringEnabled,<namespace>,L3,code,SURVIVES,,L3 mechanism on the survivor path (or its diagnostic/dormant scaffolding) — no retirement scheduled for the L3 concern itself
src/composing/analysis/key/keymodeanalyzer.cpp,literal,39,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,43,21,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,2,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,4,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,5,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,9,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,45,11,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,2,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,3,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,5,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,9,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,46,10,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,47,3,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,47,5,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,47,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,47,8,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,47,10,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,2,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,4,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,6,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,9,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,48,11,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,2,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,4,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,5,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,9,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,49,10,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,50,2,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,50,3,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,50,5,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,50,7,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
src/composing/analysis/key/keymodeanalyzer.cpp,literal,50,8,<file-scope>,L3,constant,ESTABLISHED,no,"FACT (music theory): scale-interval / mode-offset / circle-of-fifths / enharmonic-spelling table entry or pc arithmetic — structural, not a tunable"
