process_order,row_id,kind,file,line,label,verdict,reasoning
19,literal|src/composing/analysis/types/analysistypes.h|429|807,literal,src/composing/analysis/types/analysistypes.h,429,1.0 in bounds,ESTABLISHED,"Upper bound of the fitter range for the L4 param bassRootThirdOnlyMultiplier; default 0.3 in [0,1]. Consistent (L4 scope)."
20,literal|src/composing/analysis/region/regionanalyzer.cpp|1270|641,literal,src/composing/analysis/region/regionanalyzer.cpp,1270,2 in analyzeRegions,ESTABLISHED,reserve(2× parent count) capacity hint for the Pass-2b split output; no correctness role.
21,literal|src/composing/analysis/key/keymodeanalyzer.cpp|48|98,literal,src/composing/analysis/key/keymodeanalyzer.cpp,48,6 in <file-scope>,ESTABLISHED,"Augmented fourth (6) of the Lydian scale {0,2,4,6,7,9,11}; correct diatonic mode table."
22,function|src/composing/analysis/key/keymodeanalyzer.cpp|321|6,function,src/composing/analysis/key/keymodeanalyzer.cpp,321,scoreCharacteristicPitch(),SURVIVES,scoreCharacteristicPitch computes the per-mode distinguishing-pitch boost/penalty (half-boost on partial two-interval evidence); a live orthogonal scoring term. Correct.
23,field|src/composing/analysis/section/cadencekeyanchor.h|98|1650,field,src/composing/analysis/section/cadencekeyanchor.h,98,AuthenticCadence::endsPhrase,PUBLISHED,AuthenticCadence::endsPhrase marks a phrase-ending resolution (structural salience); consumed by aggregateGlobalAnchor's kWeightStructural. Published within the diagnostic cadence-anchor module.
24,literal|src/composing/analysis/key/keymodeanalyzer.cpp|56|141,literal,src/composing/analysis/key/keymodeanalyzer.cpp,56,10 in <file-scope>,ESTABLISHED,"Minor seventh (10) of the Lydian Dominant scale {0,2,4,6,7,9,10}; correct."
25,field|src/composing/analysis/types/analysistypes.h|715|1815,field,src/composing/analysis/types/analysistypes.h,715,KeyModeAnalyzerPreferences::disambiguationTriadCost,ESTABLISHED,"L3 empirical penalty (1.50) applied to the losing side in applyPairwiseDisambiguation; live, documented, in-bounds [0,4]."
26,branch|src/composing/analysis/section/sectionanalyzer.cpp|286|1454,branch,src/composing/analysis/section/sectionanalyzer.cpp,286,if in analyzeSection,SURVIVES,applyGapKeyContext: a gap tone outside the key scale clears diatonicToKey; correct membership test.
27,literal|src/composing/analysis/types/analysistypes.h|864|989,literal,src/composing/analysis/types/analysistypes.h,864,2.0 in bounds,ESTABLISHED,"Upper bound for tonalCenterThirdWeight; default 1.00 in [0,2]. Consistent."
28,field|src/composing/analysis/section/sectionanalyzer.h|99|1718,field,src/composing/analysis/section/sectionanalyzer.h,99,CadenceMarker::tick,PUBLISHED,CadenceMarker::tick is a cadence label's score tick (L5 cadence output); consumed by the notation display path. Published.
29,branch|src/composing/analysis/key/keymodeanalyzer.cpp|762|1115,branch,src/composing/analysis/key/keymodeanalyzer.cpp,762,if in analyzeKeyMode,SURVIVES,Guards the normalized-confidence computation on non-empty results; correct.
30,literal|src/composing/analysis/types/analysistypes.h|856|975,literal,src/composing/analysis/types/analysistypes.h,856,5.0 in bounds,ESTABLISHED,"Upper bound of the isManual mode-prior slider range [-5,5] for modePriorLocrianSharp6; default -2.50 in range."
31,function|src/composing/analysis/key/keymodeanalyzer.cpp|429|10,function,src/composing/analysis/key/keymodeanalyzer.cpp,429,tonalCenterScore(),SURVIVES,"tonalCenterScore: focused tonal-centre formula for family selection, independent of the main triad weights; live in analyzeKeyMode. Correct."
32,crosslayer|src/composing/analysis/region/regionanalyzer.cpp|45|1894,crosslayer,src/composing/analysis/region/regionanalyzer.cpp,45,include composing/analysis/harmony/harmonicsegmenter.h -> harmony,SURVIVES,"Region orchestrator includes the L2-legacy greedy-expand segmenter (greedyExpandSegmentation, Pass-1 coarse boundaries); currently live but the include target is RETIRES-tagged (R6)."
33,literal|src/composing/analysis/types/analysistypes.h|733|895,literal,src/composing/analysis/types/analysistypes.h,733,1.0 in <file-scope>,ESTABLISHED,"declaredModePenalty=1.0: the L3 declared-mode hint demoted from a 7.0 wall to a droppable tiebreaker (Stage-4b-i); provisional Stage-5 fit, live in analyzeKeyMode, in-bounds [0,15]."
34,literal|src/composing/analysis/types/analysistypes.h|191|787,literal,src/composing/analysis/types/analysistypes.h,191,0.30 in <file-scope>,ESTABLISHED,"diatonicRootBonus=0.30: an L4 ChordAnalyzerPreferences scoring constant on the shared types leaf; documented, live. L4 scope (deferred to L4 audit for rationale)."
35,branch|src/composing/analysis/key/keymodeformatting.cpp|84|1137,branch,src/composing/analysis/key/keymodeformatting.cpp,84,case in keyModeTonicName,SURVIVES,keyModeTonicName: Lydian returns LYDIAN_NAMES[idx]; correct name-table dispatch.
36,field|src/composing/analysis/key/keymodeanalyzer.h|133|1544,field,src/composing/analysis/key/keymodeanalyzer.h,133,KeyCandidateScore::triadEvidence,PUBLISHED,"KeyCandidateScore::triadEvidence — diagnostic per-candidate triad sub-score; filled only under dumpOut, consumed by keymodesequence buildLattice / the Stage-4 emission instrument. Published to the diagnostic surface."
37,literal|src/composing/analysis/key/keymodeanalyzer.cpp|173|268,literal,src/composing/analysis/key/keymodeanalyzer.cpp,173,2 in possibleIonianFifthsForPc,ESTABLISHED,"possibleIonianFifthsForPc case 2 (D) → {2,2} = 2 sharps; correct fifths."
38,literal|src/composing/analysis/region/regionanalyzer.cpp|1092|637,literal,src/composing/analysis/region/regionanalyzer.cpp,1092,2 in analyzeRegions,ESTABLISHED,reserve(subs.size()+2) headroom for the two endpoint bounds parentStart/parentEnd; capacity hint only.
39,field|src/composing/analysis/key/keymodeanalyzer.h|140|1551,field,src/composing/analysis/key/keymodeanalyzer.h,140,KeyCandidateScore::finalScore,PUBLISHED,KeyCandidateScore::finalScore — diagnostic ranking-score field; consumed by keymodesequence buildLattice (byCand=e.finalScore) and the Stage-4 instrument. Published.
40,field|src/composing/analysis/types/analysistypes.h|675|1805,field,src/composing/analysis/types/analysistypes.h,675,KeyModeAnalyzerPreferences::modePriorLydianSharp2,ESTABLISHED,"modePriorLydianSharp2=-2.50: L3 empirical mode prior, live in scoreModePrior; duplicated by modepriorpresets (sync-test-guarded). In-bounds."
41,branch|src/composing/analysis/key/keymodesequence.cpp|210|1181,branch,src/composing/analysis/key/keymodesequence.cpp,210,if in populateEmissionConfidence,SURVIVES,populateEmissionConfidence skips a slice whose chosen state is not in the lattice (stateIndexForResult == -1); defensive guard. Correct.
42,literal|src/composing/analysis/types/analysistypes.h|601|850,literal,src/composing/analysis/types/analysistypes.h,601,0.25 in <file-scope>,ESTABLISHED,"scaleScoreInCandidateOnly=0.25: L3 empirical scale-membership score (theory-grounded ordering both>candidate>keysig>neither); live, in-bounds [0,1]."
43,literal|src/composing/analysis/types/analysistypes.h|852|967,literal,src/composing/analysis/types/analysistypes.h,852,5.0 in bounds,ESTABLISHED,"Upper bound of the isManual mode-prior range for modePriorMixolydianB6; default -1.50 in [-5,5]."
44,function|src/composing/analysis/key/keymodesequence.cpp|416|36,function,src/composing/analysis/key/keymodesequence.cpp,416,redecodeRange(),SURVIVES,"redecodeRange rebuilds the full lattice with both pins forced, re-runs Viterbi over [first,last], fixes sliceIndex to global and re-populates emission confidence over the full lattice; reproduces the full-decode slice exactly (R2). Correct."
45,branch|src/composing/analysis/region/regionanalyzer.cpp|443|1283,branch,src/composing/analysis/region/regionanalyzer.cpp,443,ternary in applyJointKeyWiring,SURVIVES,Passes &prevKey or nullptr as the hysteresis predecessor in applyJointKeyWiring (default-OFF path); standard optional-to-pointer. Correct.
46,field|src/composing/analysis/region/regionanalyzer.h|101|1632,field,src/composing/analysis/region/regionanalyzer.h,101,ReachBackOptions::maxReachSteps,ESTABLISHED,"ReachBackOptions::maxReachSteps default 8 — the reach-back hard bound; reach-back is default OFF so inert on production. Documented, sensible."
47,literal|src/composing/analysis/key/keymodeanalyzer.cpp|527|358,literal,src/composing/analysis/key/keymodeanalyzer.cpp,527,12 in keySignatureFifthsForKey,ESTABLISHED,((tonicPc%12)+12)%12 pitch-class normalization in keySignatureFifthsForKey; standard.
48,field|src/composing/analysis/types/analysistypes.h|672|1802,field,src/composing/analysis/types/analysistypes.h,672,KeyModeAnalyzerPreferences::modePriorIonianSharp5,ESTABLISHED,"modePriorIonianSharp5=-2.00: L3 empirical mode prior, live; duplicated by modepriorpresets (sync-guarded). In-bounds."
49,literal|src/composing/analysis/key/keymodeanalyzer.cpp|59|156,literal,src/composing/analysis/key/keymodeanalyzer.cpp,59,6 in <file-scope>,ESTABLISHED,"b5 (6) of the Altered scale {0,1,3,4,6,8,10}; correct super-locrian table."
50,branch|src/composing/analysis/key/keymodeanalyzer.cpp|394|1083,branch,src/composing/analysis/key/keymodeanalyzer.cpp,394,case in scoreModePrior,SURVIVES,scoreModePrior case 11 → modePriorMixolydianB6; matches MODES[11]=Mixolydian b6. Correct index mapping.
51,literal|src/composing/analysis/types/analysistypes.h|880|1008,literal,src/composing/analysis/types/analysistypes.h,880,0.5 in bounds,ESTABLISHED,"Lower bound of confidenceSigmoidMidpoint range; default 2.0 in [0.5,5]. Consistent."
52,branch|src/composing/analysis/section/sectionanalyzer.cpp|680|1509,branch,src/composing/analysis/section/sectionanalyzer.cpp,680,if in analyzeSection,SURVIVES,Skips a zero/negative-length source overlap (sourceStartTick>=sourceEndTick); advances the cursor. Correct.
53,branch|src/composing/analysis/section/jointkeydecision.cpp|49|1396,branch,src/composing/analysis/section/jointkeydecision.cpp,49,if in jkdInCollectionFraction,SURVIVES,jkdInCollectionFraction bit-tests each pc in the mask to count total/inside; correct collection-fraction loop.
54,literal|src/composing/analysis/section/jointkeydecision.cpp|81|696,literal,src/composing/analysis/section/jointkeydecision.cpp,81,4 in <file-scope>,ESTABLISHED,"Major third (4) of the Maj7 template {0,4,7,11}; standard chord vocabulary."
55,literal|src/composing/analysis/key/modepriorpresets.h|64|584,literal,src/composing/analysis/key/modepriorpresets.h,64,2.50 in <file-scope>,ESTABLISHED,"ModePriorPreset default locrianSharp6=-2.50; empirical, duplicates KeyModeAnalyzerPreferences.modePriorLocrianSharp6 (sync-test-guarded)."
56,literal|src/composing/analysis/types/analysistypes.h|845|952,literal,src/composing/analysis/types/analysistypes.h,845,5.0 in bounds,ESTABLISHED,"Upper bound of the isManual mode-prior range for modePriorMixolydian; default -0.50 in [-5,5]."
57,literal|src/composing/analysis/key/keymodeanalyzer.h|142|422,literal,src/composing/analysis/key/keymodeanalyzer.h,142,0.0 in <file-scope>,ESTABLISHED,Zero-init of the diagnostic KeyCandidateScore::tonicWeight field; inert.
58,branch|src/composing/analysis/key/keymodeanalyzer.cpp|669|1109,branch,src/composing/analysis/key/keymodeanalyzer.cpp,669,if in analyzeKeyMode,SURVIVES,Family-selection: updates best-by-centre using the tonal-centre delta-threshold rule (with raw-score tiebreak); correct comparison logic.
59,literal|src/composing/analysis/key/modepriorpresets.cpp|59|501,literal,src/composing/analysis/key/modepriorpresets.cpp,59,1.50 in modePriorPresets,ESTABLISHED,Jazz preset mode prior ionianSharp5=-1.50; empirical (371-chorale tuning).
60,branch|src/composing/analysis/key/keymodeanalyzer.cpp|390|1079,branch,src/composing/analysis/key/keymodeanalyzer.cpp,390,case in scoreModePrior,SURVIVES,scoreModePrior case 7 → modePriorMelodicMinor; matches MODES[7]=Melodic Minor. Correct.
61,literal|src/composing/analysis/key/modepriorpresets.cpp|133|566,literal,src/composing/analysis/key/modepriorpresets.cpp,133,0.00 in modePriorPresets,ESTABLISHED,Contemporary preset mode prior phrygianDominant=0.00; empirical.
62,field|src/composing/analysis/region/harmonicrhythm.h|80|1620,field,src/composing/analysis/region/harmonicrhythm.h,80,HarmonicRegion::endTick,PUBLISHED,"HarmonicRegion::endTick — region boundary (exclusive next-region tick); consumed by merge/absorb passes, serializers, display. Published core fact."
63,branch|src/composing/analysis/region/regionanalyzer.cpp|666|1301,branch,src/composing/analysis/region/regionanalyzer.cpp,666,if in analyzeRegions,SURVIVES,Reach-back leadIndex (default-OFF path): first slice ending past the selection start. Correct.
64,branch|src/composing/analysis/key/keymodeanalyzer.cpp|173|1038,branch,src/composing/analysis/key/keymodeanalyzer.cpp,173,case in possibleIonianFifthsForPc,SURVIVES,"possibleIonianFifthsForPc case 2 (D) → {2,2}; correct case return (branch view of the :173 literal)."
65,literal|src/composing/analysis/types/analysistypes.h|803|909,literal,src/composing/analysis/types/analysistypes.h,803,0.2 in <file-scope>,ESTABLISHED,"beatWeightSubbeat=0.2: L3 empirical beat weight (theory-grounded ordering downbeat>...>subbeat); in-bounds [0,0.5]."
66,literal|src/composing/analysis/types/analysistypes.h|837|941,literal,src/composing/analysis/types/analysistypes.h,837,0.0 in bounds,ESTABLISHED,"Upper bound for characteristicPitchPenalty; default -0.60 in [-2,0]. Consistent."
67,literal|src/composing/analysis/key/keymodeanalyzer.cpp|67|196,literal,src/composing/analysis/key/keymodeanalyzer.cpp,67,8 in <file-scope>,ESTABLISHED,"#5/b6 (8) of the Altered-Dom-bb7 scale {0,1,3,4,6,8,9}; correct."
68,literal|src/composing/analysis/key/keymodeanalyzer.cpp|416|353,literal,src/composing/analysis/key/keymodeanalyzer.cpp,416,2 in scoreKeySignatureProximity,ESTABLISHED,"std::array<int,2> size for the two enharmonic key-sig options in scoreKeySignatureProximity; structural."
69,literal|src/composing/analysis/key/keymodeanalyzer.cpp|349|327,literal,src/composing/analysis/key/keymodeanalyzer.cpp,349,0.5 in scoreCharacteristicPitch,ESTABLISHED,Half-boost (×0.5) when only the primary of a two-interval characteristic condition is present (partial evidence); documented structural half. Live.
70,branch|src/composing/analysis/region/regionanalyzer.cpp|1333|1360,branch,src/composing/analysis/region/regionanalyzer.cpp,1333,if in analyzeRegions,SURVIVES,Pass-2b empty sub-span → inherit the parent chord/key as a gap sub-region; correct fallback.
71,branch|src/composing/analysis/region/regionanalyzer.cpp|990|1332,branch,src/composing/analysis/region/regionanalyzer.cpp,990,if in analyzeRegions,SURVIVES,Pass-1 analyzeChord produced nothing → skip the region; correct.
72,field|src/composing/analysis/section/jointkeydecision.h|171|1691,field,src/composing/analysis/section/jointkeydecision.h,171,JointKeyDecision::prodTonicPc,PUBLISHED,JointKeyDecision::prodTonicPc — echoed production-key reference for the dump comparison ONLY; never read by decideJointKey (no-circularity). Published to the diagnostic surface as a labelled echo.
73,literal|src/composing/analysis/key/keymodesequence.cpp|168|448,literal,src/composing/analysis/key/keymodesequence.cpp,168,0.0 in buildLattice,ESTABLISHED,Zero-init of the projected lattice emission matrix in buildLattice; empty-context slices stay neutral (all-zero). Correct.
74,literal|src/composing/analysis/region/regionanalyzer.cpp|944|632,literal,src/composing/analysis/region/regionanalyzer.cpp,944,12 in analyzeRegions,ESTABLISHED,currentBassPc = t.pitch % 12; standard pitch-class of the bass tone.
75,literal|src/composing/analysis/key/keymodeanalyzer.cpp|105|232,literal,src/composing/analysis/key/keymodeanalyzer.cpp,105,4 in <file-scope>,ESTABLISHED,"maj3 (4) of the MixolydianB6 compound characteristic condition (min6 AND maj3, distinguishes from Aeolian). Correct."
76,literal|src/composing/analysis/key/keymodeanalyzer.cpp|67|193,literal,src/composing/analysis/key/keymodeanalyzer.cpp,67,3 in <file-scope>,ESTABLISHED,"#2/b3 (3) of the Altered-Dom-bb7 scale {0,1,3,4,6,8,9}; correct."
77,branch|src/composing/analysis/key/keymodeformatting.cpp|129|1171,branch,src/composing/analysis/key/keymodeformatting.cpp,129,case in keyModeSuffix,SURVIVES,"keyModeSuffix: LocrianSharp6 → ""Loc#6""; correct display-label dispatch."
78,literal|src/composing/analysis/key/keymodeanalyzer.cpp|172|267,literal,src/composing/analysis/key/keymodeanalyzer.cpp,172,5 in possibleIonianFifthsForPc,ESTABLISHED,"Db major = 5 flats (-5), the enharmonic partner of C# (7 sharps) in possibleIonianFifthsForPc case 1. Correct."
79,literal|src/composing/analysis/types/analysistypes.h|843|948,literal,src/composing/analysis/types/analysistypes.h,843,5.0 in bounds,ESTABLISHED,"Upper bound of the isManual mode-prior range for modePriorPhrygian; default -1.50 in [-5,5]."
80,function|src/composing/analysis/key/keymodeanalyzer.cpp|378|8,function,src/composing/analysis/key/keymodeanalyzer.cpp,378,scoreModePrior(),SURVIVES,scoreModePrior maps modeIndex → the preset's mode-prior bias via a 21-case switch; a live additive scoring term. Correct.
81,field|src/composing/analysis/region/harmonicrhythm.h|46|1614,field,src/composing/analysis/region/harmonicrhythm.h,46,ChordTemporalExtensions::bassIsStepwiseToNext,PUBLISHED,"ChordTemporalExtensions::bassIsStepwiseToNext — L4 temporal snapshot (copied from ChordTemporalContext by toExtensionsSnapshot), consumed by chord scoring/emitters. Published (L4 scope on the mixed DTO)."
82,literal|src/composing/analysis/key/keymodeanalyzer.cpp|98|223,literal,src/composing/analysis/key/keymodeanalyzer.cpp,98,8 in <file-scope>,ESTABLISHED,min6 (8) — Aeolian's distinguishing characteristic pitch vs Dorian (maj6). Correct.
83,crosslayer|src/composing/analysis/key/keymodeanalyzer.cpp|24|1850,crosslayer,src/composing/analysis/key/keymodeanalyzer.cpp,24,include ../chord/analysisutils.h -> chord,SURVIVES,L3 key scorer includes chord/analysisutils.h for normalizePc/ionianTonicPcFromFifths pc helpers; functional low-level util dependency (the types-header split already removed the ParameterBoundsMap back-edge).
84,field|src/composing/analysis/key/keymodesequence.h|160|1569,field,src/composing/analysis/key/keymodesequence.h,160,SliceKeyMode::chosen,PUBLISHED,"SliceKeyMode::chosen — the decoder's chosen (tonic,mode) per slice, THE L3 decision; consumed by regionanalyzer localKeyForRegion (duration-majority). Published core output."
85,literal|src/composing/analysis/key/keymodeanalyzer.cpp|789|385,literal,src/composing/analysis/key/keymodeanalyzer.cpp,789,12 in analyzeKeyMode,ESTABLISHED,12 tonic pitch classes × mode slots reserve for the diagnostic dump; capacity hint. Correct.
86,branch|src/composing/analysis/region/regionanalyzer.cpp|174|1261,branch,src/composing/analysis/region/regionanalyzer.cpp,174,if in coalesceShortSameRootRuns,SURVIVES,coalesceShortSameRootRuns tracks the longest sub-region in a same-root run (its chord identity governs the merged region). Correct.
87,literal|src/composing/analysis/section/cadencekeyanchor.cpp|203|664,literal,src/composing/analysis/section/cadencekeyanchor.cpp,203,0.0 in aggregateGlobalAnchor,ESTABLISHED,anchor.confidence = winnerWeight/total when total>0 else 0.0; div-by-zero guard. Correct.
88,field|src/composing/analysis/key/modepriorpresets.h|65|1605,field,src/composing/analysis/key/modepriorpresets.h,65,ModePriorPreset::ionianSharp5,ESTABLISHED,"ModePriorPreset default ionianSharp5=-2.00; empirical, duplicates KeyModeAnalyzerPreferences.modePriorIonianSharp5 (sync-test-guarded)."
89,literal|src/composing/analysis/key/keymodeanalyzer.cpp|55|130,literal,src/composing/analysis/key/keymodeanalyzer.cpp,55,2 in <file-scope>,ESTABLISHED,"maj2 (2) of the Lydian Augmented scale {0,2,4,6,8,9,11}; correct."
90,branch|src/composing/analysis/section/sectioncadencedetection.cpp|178|1529,branch,src/composing/analysis/section/sectioncadencedetection.cpp,178,if in detectPivotChords,SURVIVES,detectPivotChords: the first assertive region sets the baseline key (INT_MIN sentinel); correct init-once pattern.
91,literal|src/composing/analysis/key/keymodeanalyzer.h|37|389,literal,src/composing/analysis/key/keymodeanalyzer.h,37,1.0 in normalizedConfidenceSigmoid,ESTABLISHED,"The 1.0 in 1/(1+exp(...)) — the sigmoid numerator/denominator constant; structural math, not a tunable."
92,literal|src/composing/analysis/types/analysistypes.h|885|1014,literal,src/composing/analysis/types/analysistypes.h,885,0.5 in bounds,ESTABLISHED,"Lower bound of the isManual hysteresisMargin range; default 2.0 in [0.5,5]. Consistent."
93,crosslayer|src/composing/analysis/key/keyresolver.cpp|41|1872,crosslayer,src/composing/analysis/key/keyresolver.cpp,41,include composing/analysis/chord/analysisutils.h -> chord,SURVIVES,Resolver includes chord/analysisutils.h for normalizePc/ionianTonicPcFromFifths; functional pc-helper dependency.
94,literal|src/composing/analysis/types/analysistypes.h|893|1029,literal,src/composing/analysis/types/analysistypes.h,893,0.5 in bounds,ESTABLISHED,"Upper bound for beatWeightCompoundSubbeat; default 0.2 in [0,0.5]. Consistent."
95,literal|src/composing/analysis/key/keymodeanalyzer.cpp|175|276,literal,src/composing/analysis/key/keymodeanalyzer.cpp,175,4 in possibleIonianFifthsForPc,ESTABLISHED,E major = 4 sharps in possibleIonianFifthsForPc case 4; correct fifths.
96,literal|src/composing/analysis/types/analysistypes.h|845|953,literal,src/composing/analysis/types/analysistypes.h,845,5.0 in bounds,ESTABLISHED,Upper bound of the isManual mode-prior range for modePriorMixolydian (second table row at :845); consistent.
97,literal|src/composing/analysis/key/keymodeanalyzer.cpp|51|114,literal,src/composing/analysis/key/keymodeanalyzer.cpp,51,3 in <file-scope>,ESTABLISHED,"min3 (3) of the Locrian scale {0,1,3,5,6,8,10}; correct."
98,field|src/composing/analysis/section/localmodulationdetector.h|91|1717,field,src/composing/analysis/section/localmodulationdetector.h,91,ModulationDetectionResult::anchor,PUBLISHED,"ModulationDetectionResult::anchor — the key-agnostic global cadence anchor (home reference for agreesWithAnchor); the detector's output. Published (4d-i diagnostic, not wired to production)."
99,branch|src/composing/analysis/section/sectionanalyzer.cpp|670|1507,branch,src/composing/analysis/section/sectionanalyzer.cpp,670,ternary in analyzeSection,SURVIVES,Chooses the running display predecessor or the raw predecessor pointer for gap inference; correct optional-to-pointer.
100,field|src/composing/analysis/section/jointkeydecision.h|145|1678,field,src/composing/analysis/section/jointkeydecision.h,145,JointKeyWeights::modulation,ESTABLISHED,"JointKeyWeights::modulation=1.0 — SOFT re-rank weight for a committed modulation span covering the region; provisional empirical, additive-only (no veto). Consistent."
101,literal|src/composing/analysis/key/modepriorpresets.cpp|122|555,literal,src/composing/analysis/key/modepriorpresets.cpp,122,0.20 in modePriorPresets,ESTABLISHED,Contemporary preset mode prior melodicMinor=0.20; empirical.
102,crosslayer|src/composing/analysis/region/regionanalyzer.cpp|44|1893,crosslayer,src/composing/analysis/region/regionanalyzer.cpp,44,include composing/analysis/function/harmonicfunctionlayer.h -> function,SURVIVES,The region orchestrator (L3-mixed) includes the L5 function layer for the function-application/fan-out orchestration it wires; an expected orchestrator cross-layer include.
103,branch|src/composing/analysis/region/regionanalyzer.cpp|771|1311,branch,src/composing/analysis/region/regionanalyzer.cpp,771,if in analyzeRegions,SURVIVES,"addMenu dedups a candidate-key menu bucket by (tonic,mode); correct accumulation."
104,branch|src/composing/analysis/key/keymodesequence.cpp|180|1179,branch,src/composing/analysis/key/keymodesequence.cpp,180,if in stateIndexForResult,SURVIVES,"stateIndexForResult finds the lattice state index matching a result's (tonic,mode); correct linear lookup."
105,literal|src/composing/analysis/key/keymodeanalyzer.cpp|64|177,literal,src/composing/analysis/key/keymodeanalyzer.cpp,64,3 in <file-scope>,ESTABLISHED,"min3 (3) of the Dorian#4 scale {0,2,3,6,7,9,10}; correct."
