process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
11,branch|tools/compare_analyses.py|37#0,instrument_core,branch,tools/compare_analyses.py,37,if in <module-scope>,,SURVIVES,static type-checking guard; dcml_parser.DcmlRegion imported only for annotations.,nothing,TYPE_CHECKING is False at runtime; import never executed at runtime.,Pure typing hygiene; avoids a real import cycle (compare_rn imports both). No runtime effect.,none,Standard TYPE_CHECKING guard. Not load-bearing on any measurement.,blind-reader:g2a_core1
12,branch|tools/stage5_fit_driver.py|697#0,instrument_grading_fitting,branch,tools/stage5_fit_driver.py,697,if in <module-scope>,,SURVIVES,module run as a script invokes main().,standard entrypoint guard.,CLI.,none.,none,Conventional __main__ guard.,blind-reader:g3_grading
13,literal|tools/music21_batch.py|108#0,instrument_grading_fitting,literal,tools/music21_batch.py,108,4 in _is_bach_chorale,no,ESTABLISHED,SATB Bach chorale has exactly 4 parts (S/A/T/B) — used together with BWV presence + variant-suffix + non-chorale-BWV exclusion to select the corpus.,the SATB part-count filter predicate in _is_bach_chorale.,run_batch corpus selection (music21 corroboration corpus); the .music21.json set.,"'exactly-4-parts BWV non-variant => chorale' is a selection ASSUMPTION, but 4=SATB voice count is a structural FACT and the filter is a standard, multiply-corroborated heuristic; music21 is a corroborating oracle, not GT.",none,"Structural SATB voice count; established corpus-selection filter, not a tuned inference constant.",blind-reader:g3_grading
14,decl|src/composing/analysis/function/functionrelationallabel.h|157#0,dormant_resolver,decl,src/composing/analysis/function/functionrelationallabel.h,157,classifyRelationalLabel,,SURVIVES,same as the definition.,declares classifyRelationalLabel.,batch_analyze + tests (as above).,signature matches the .cpp definition.,none,Declaration matches definition. Correct.,blind-reader:g1b_cadence
15,function|src/composing/analysis/function/forwardoverride.cpp|47#0,dormant_resolver,function,src/composing/analysis/function/forwardoverride.cpp,47,isClosed(),,SURVIVES,decisionId is an opaque int key; membership in m_closed == already-final this pass.,internal closed-state query (a boolean); part of the one-pass closure ledger.,tryOverride() (this TU) + forwardoverride/functionresolver unit tests; no src/ production consumer (dormant).,unknown id -> false; after reset() -> false; grows-only within a pass.,none,"Trivial std::set membership check; correct convergence-ledger primitive, legitimate dormant scaffolding.",blind-reader:g1a_resolver
16,decl|src/composing/analysis/function/functionprogression.h|175#0,dormant_resolver,decl,src/composing/analysis/function/functionprogression.h,175,isDescendingSecond,,SURVIVES,descending major/minor second (delta 10/11) is a licensed motion (Phrygian/Andalusian step; the ratified §15-12 amendment).,declares isDescendingSecond.,defined in functionprogression.cpp; called by isLicensedProgression; also functioncadence via that.,unconditional on quality (documented).,none,Declaration matches definition; the motion (down 2nd) is a genuine theory-completion licensing predicate. Correct.,blind-reader:g1b_cadence
17,field|src/composing/analysis/function/functioncadence.h|184#0,dormant_resolver,field,src/composing/analysis/function/functioncadence.h,184,FunctionalCadence::sixFourCollapsed,,SURVIVES,a cadential six-four before a root-position dominant collapses into the dominant approach.,PUBLISHED - the 6/4-collapse transparency flag.,set true in tryAuthentic (real detection logic); read by oracle test functioncadence_tests.cpp:185 (EXPECT_TRUE). No assembly/dump consumer yet.,false in all other cadence types.,none,"Documented output-transparency flag with real detection behind it and an oracle test; consumed by test only, which is exactly the dormant-scaffolding condition. Not a defect.",blind-reader:g1b_cadence
18,branch|tools/batch_analyze.cpp|4389#0,harness,branch,tools/batch_analyze.cpp,4389,if in main,,SURVIVES,engraving KeyMode MINOR or AEOLIAN implies an Aeolian diatonic prior for the chord decoder.,sets keyMode = KeySigMode::Aeolian for the decode-chords prior.,runChordDecode diatonic prior.,"only major/minor prior is distinguished (comment flags per-slice L3 feed-forward as a later refinement); modal signatures fall to the Ionian default — acknowledged simplification, not a bug on a diagnostic.",none,Correct minor→Aeolian prior mapping; documented diagnostic-level simplification.,blind-reader:g4_harness
19,literal|tools/batch_analyze.cpp|1771#0,harness,literal,tools/batch_analyze.cpp,1771,6 in writeDiagnosticJson,no,ESTABLISHED,6 significant digits suffice for a diagnostic tone weight.,collected_notes[].weight in the --diagnose-measures JSON.,measure-diagnostic triage output.,fmtDouble %g precision 6; ample for a weight value in a human/triage dump.,none,Standard diagnostic float precision.,blind-reader:g4_harness
20,io|tools/oracle_root_metric.py|441#0,instrument_grading_fitting,io,tools/oracle_root_metric.py,441,write_text in main,,SURVIVES,--emit-json path given; sets serialized to sorted lists.,"PUBLISHED — the standing per-event tiered oracle-root metric: CHARGED/FLOOR + 5 sub-tier stem@tick case-identity sets, git_hash-stamped from the manifest.",the metric-arc case-identity artifact (analogous to characterise_bir_false emission); recorded/committed sets.,"deterministic (sorted, indent=1); each preset block carries git_hash + scores + wir_coverage provenance.",none,Read-only metric emission with corpus-hash stamping; no behaviour change.,blind-reader:g3_grading
21,branch|tools/batch_analyze.cpp|3506#0,harness,branch,tools/batch_analyze.cpp,3506,ternary in runFullSpine,,SURVIVES,bassIsRoot = hasChord && fr.bassIsRoot() (computed at 3477).,"PUBLISHED — bassIsRoot boolean into the --dump-fullspine JSON, alongside pitchClassSet.",the a8 robust-unit grader / analyze_inversion_errors bassIsRoot split (Python).,emits JSON true/false from the correctly-computed bool; no double-emission of this fact on this path.,none,Correct published field; bool-to-JSON emission from a verified source.,blind-reader:g4_harness
22,io|tools/a8_rebaseline_measure.py|523#1,instrument_core,io,tools/a8_rebaseline_measure.py,523,dumps in main,,PUBLISHED,summary.json is the single published surface of the granularity-robust metric (root/RN/key + class-split durations).,the per-preset metric dict incl. agg.b_cls_b_dur / b_cls_a_dur (the hard-stop and fitting-objective quantities).,"robust_stop_diff.class_durs_from_summary (reads b_cls_b_dur/b_cls_a_dur); stage5_fit_driver.py line 285-296 (fitting objective). Grep-confirmed, single producing surface, consumers read.",Self-validated before write (build_piece_grid asserts variant-(b) buckets byte-identical to grid_score_regions oracle per piece). Stamped indirectly via robust_stop/manifest.json (corpus_git_hash + instrument_commit). No re-derivation by consumers.,none,Published-once metric consumed by the gate and the fitter; oracle-self-validated; unification-conformant.,blind-reader:g2b_core2
23,literal|tools/dcml_parser.py|448#3,instrument_core,literal,tools/dcml_parser.py,448,9 in _resolve_dcml_key,no,ESTABLISHED,12-TET inverse map; 9 -> 'A'.,_PC_TO_NOTE entry converting a resolved local tonic PC back to a note name.,_resolve_dcml_key (l.449).,Structural chromatic-index inverse of _NOTE_TO_PC; A=9 by C=0 convention. Not a tuned parameter (manifest hint 'no' correct). Enharmonic spelling choices (Eb/Ab/Bb) are irrelevant since only the tonic PC is re-derived downstream.,none,Derivable structural PC-to-note value (9=A).,blind-reader:g2a_core1
24,crosslayer|tools/batch_analyze.cpp|117#0,harness,crosslayer,tools/batch_analyze.cpp,117,include composing/analysis/key/keymodesequence.h -> key,,SURVIVES,the Layer-3 KeyModeSequence decoder is a valid dependency for the harness.,feeds the --decode-keymode diagnostic dump.,"kms::KeyModeSequenceDecoder / SliceKeyMode used in runKeyModeDecode (2454, 2471); seqPrefs is KeyModeSequencePreferences from this header.","harness drives Layer-3; used, not dead.",none,"Legitimate crosslayer include, actively consumed.",blind-reader:g4_harness
25,literal|tools/batch_analyze.cpp|3018#2,harness,literal,tools/batch_analyze.cpp,3018,12 in fsFifthsForTonic,no,ESTABLISHED,there are 12 pitch classes; tonic=(7*fifths) mod 12 with 7 self-inverse mod 12.,nothing (internal fifths-for-tonic inverse).,fsFifthsForTonic keeps the base-RN key triple consistent after a §5.4 modulation recompute.,"verified: minor uses relative-major tonic (tonicPc+3, Aeolian convention); modulo-12 normalization is correct pitch-class arithmetic.",none,"12 = pitch-class count; structural constant, math verified correct.",blind-reader:g4_harness
26,branch|tools/compare_analyses.py|423#0,instrument_core,branch,tools/compare_analyses.py,423,for in _build_measure_anchors,,SURVIVES,"ASSUMPTION — the smallest-beat region in a measure sits at (or the offset to) beat 1, and ticks-per-beat is constant, so measure_start = start_tick-(beat-1)*tpb.",measure->tick anchor map (internal).,_dcml_tick_for (l.437) as a FALLBACK only when a DcmlRegion has no abs_tick (the rntxt/WiR path); TSV path prefers abs_tick (l.476).,"Load-bearing on the rntxt/Bach leg (no abs_tick there). The beat-1 / constant-tpb assumption is the long-established measure-anchor reconstruction, but it is an assumption, not derivable from a single measure. Not a new defect.",none,Fallback anchor builder; documented and superseded by abs_tick on TSV corpora.,blind-reader:g2a_core1
27,branch|tools/music21_batch.py|48#0,instrument_grading_fitting,branch,tools/music21_batch.py,48,try in <module-scope>,,SURVIVES,music21 importable; otherwise the tool cannot run.,import-availability guard; sys.exit(1) with an install hint if absent.,module bootstrap.,"loud failure (exit 1 + message), not silent.",none,Standard optional-dependency import guard.,blind-reader:g3_grading
28,field|src/composing/analysis/function/functionoutput.h|162#0,dormant_resolver,field,src/composing/analysis/function/functionoutput.h,162,FunctionUnitAssembly::relational,,SURVIVES,relational.label already carries the full DCML numeral (base RN + relational label combined upstream by classifyRelationalLabel).,none directly (an assembly-INPUT field carrying the upstream relational label).,assembleFunctionOutput() reads in.relational.label/.role -> u.romanNumeral / u.relationalRole.,default-constructed RelationalLabel.,none,Input carrier that prevents re-formatting the numeral in L5 (§7 'does not re-format'); correct no-re-derivation contract field.,blind-reader:g1a_resolver
29,branch|tools/batch_analyze.cpp|2810#0,harness,branch,tools/batch_analyze.cpp,2810,case in runVlDump,,SURVIVES,vl::TextureClass has the enumerated members and each maps to a stable string name.,textureClass committed/ranked class names in the --dump-vl JSON.,the dormant VL texture dump.,one switch arm of a complete enum-to-string map (with '?' fallthrough).,none,Correct enum-to-name mapping arm.,blind-reader:g4_harness
30,function|tools/batch_analyze.cpp|2544#0,harness,function,tools/batch_analyze.cpp,2544,runReachBackAB(),,SURVIVES,reach-back OFF vs ON can be measured over interior ranges without touching the corpus path.,per-range changed/timing JSON (--reachback-ab).,"L3 reach-back activation ratification (HELD); returns before analyzeScore, corpus byte-identical.",read-only diagnostic; A/B uses the SHARED analyzeRegions (no re-implementation).,none,"Legitimate diagnostic probe, flag-gated, no production effect.",blind-reader:g4_harness
31,branch|src/composing/analysis/function/forwardoverride.cpp|32#0,dormant_resolver,branch,src/composing/analysis/function/forwardoverride.cpp,32,if in overrideBar,,SURVIVES,"earlierConfidence may arrive outside [0,1]; the override bar is only well-defined for a clamped confidence.",none (clamps the local c used to compute overrideBar).,internal to overrideBar(); overrides()/tryOverride() consume the resulting bar.,"c<0 -> 0.0, c>1 -> 1.0; NaN would fail both comparisons and pass through (dormant, benign).",none,Legitimate defensive clamp making the §8 monotone bar well-defined; direction-only-fixed scaffolding.,blind-reader:g1a_resolver
32,literal|src/composing/analysis/function/tonicizationlabeler.cpp|50#0,dormant_resolver,literal,src/composing/analysis/function/tonicizationlabeler.cpp,50,12 in keyScale,no,ESTABLISHED,12 semitone steps span an octave; the diatonic collection has 7 members.,loop bound for the scale-member scan.,keyScale octave sweep (idx<7 also caps).,step<12 && idx<7 dual bound.,none,"Structural octave span (12), not a tuned value.",blind-reader:g1b_cadence
33,field|src/composing/analysis/function/functionoutput.h|105#0,dormant_resolver,field,src/composing/analysis/function/functionoutput.h,105,FunctionOutputParams::wNextBestMargin,,SURVIVES,the §5.5 margin-to-next-best component is weighted non-negatively (direction-only-fixed seed 1.0).,the FunctionOutputParams weight for the resolver-margin confidence component.,assembleFunctionOutput() -> u.confidence.combined; + tests. Dormant.,default 1.0.,none,Legitimate firewall-seed param field; manifest-omission already noted on the sibling literal row :104.,blind-reader:g1a_resolver
34,branch|src/composing/analysis/function/functioncadence.cpp|182#0,dormant_resolver,branch,src/composing/analysis/function/functioncadence.cpp,182,switch in cadenceTonicVote,,SURVIVES,per-type lower-confidence discount (half/phrygian-half/plagal/evaded weaker than authentic/deceptive).,vote discount applied to tonicVote.,cadenceTonicVote local.,default: authentic/deceptive/none untouched. Direction fixed per header.,none,Switch applies the documented per-type discounts; PhrygianHalf falls through with Half. Correct.,blind-reader:g1b_cadence
35,branch|tools/oracle_root_metric.py|287#0,instrument_grading_fitting,branch,tools/oracle_root_metric.py,287,if in run_preset,,SURVIVES,"when m21!=dcml (a floor event), cat=='dcml_ours_agree' means we sided with DCML.",the floor sub-tally n_dcml_ours (we-side-with-DCML count).,format_report / emit_json floor_dcml_ours_agree.,complementary to the all_differ branch below; clean floor decomposition.,none,Correct floor-event sub-classification; DCML authoritative.,blind-reader:g3_grading
36,literal|tools/batch_analyze.cpp|3718#0,harness,literal,tools/batch_analyze.cpp,3718,0.25 in runJointProbe,no,ESTABLISHED,the probe's region stream must reproduce the production analyzeScore regions.,nothing (opts value).,cra::analyzeRegions inside runJointProbe.,"0.25 matches the production analyzeScore opts (line 597) and the config default (notationharmonicrhythmbridge 0.25), so the probe measures the same region stream — the mirroring is the justification.",none,Mirror of the production onset threshold; not an independent tuned magic number. Not in param manifest (it echoes the config default).,blind-reader:g4_harness
37,literal|tools/robust_stop_diff.py|139#0,instrument_core,literal,tools/robust_stop_diff.py,139,2 in _fmt,no,ESTABLISHED,"run-identity tuple ordering is (stem, start, our_root, dcml_root); index 2 = our_root.",none (format helper).,_dump added/removed listing.,"'2' is a tuple index into the identity key, not a magnitude; matches parse_runs key construction.",none,"Structural index literal, not a tuned param.",blind-reader:g2b_core2
38,literal|tools/dcml_parser.py|448#4,instrument_core,literal,tools/dcml_parser.py,448,10 in _resolve_dcml_key,no,ESTABLISHED,12-TET inverse map; 10 -> 'Bb'.,_PC_TO_NOTE entry (PC 10).,_resolve_dcml_key (l.449).,"Structural inverse-map value; Bb chosen for PC 10 (enharmonic-immaterial, only PC survives). Not manifest-tuned.",none,Derivable structural PC-to-note value (10=Bb).,blind-reader:g2a_core1
39,crosslayer|src/composing/analysis/progression/progressionrecognizer.cpp|22#0,dormant_resolver,crosslayer,src/composing/analysis/progression/progressionrecognizer.cpp,22,include progressionrecognizer.h -> external,,SURVIVES,the TU includes its own header.,nothing.,n/a.,the classifier's target_area 'external' merely means non-src-relative path; it is the module's own header in progression/.,none,"Self-include, not a wrong-layer reach. Correct.",blind-reader:g1b_cadence
40,function|src/composing/analysis/function/functionresolver.cpp|54#0,dormant_resolver,function,src/composing/analysis/function/functionresolver.cpp,54,buildProgression(),,SURVIVES,a FunctionSlice's §5.0 progression view is a pure projection (chord/committed/metricWeight/ticks) of the slice.,the Progression view the §5.0 licensing queries read (published for internal use).,resolveCarriedReadings() + firstCutSelectionSlice(); dormant.,empty region -> empty Progression (reserve(0)).,none,"Pure field-copy projection helper, no re-derivation; the correct single mapping FunctionSlice->ProgressionSlice.",blind-reader:g1a_resolver
41,branch|src/composing/analysis/function/functionresolver.cpp|251#0,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,251,case in resolveAbstained,,SURVIVES,"a RelativePair ambiguity's two candidate tonics are the two reading roots, decided by cadence tonic-vote.",the selected relative-pair centre (CadenceVote basis) or a fall-through to prior/open.,internal to resolveAbstained().,!hasReadingB -> openMark; equal votes (incl. both 0) -> tieBreakOrOpen.,none,Relative major/minor centre resolved by the §5.2 authentic-cadence vote — a theory-grounded selection rule; correct.,blind-reader:g1a_resolver
42,branch|tools/c1_reliability.py|284#0,instrument_grading_fitting,branch,tools/c1_reliability.py,284,for in measure_devbeds,,SURVIVES,l6.DEV_BEDS enumerates the 16 dev-bed corpora with fullspine dumps on disk.,drives per-dev-bed cadence + L1.5 reliability pair accumulation.,the dev-bed reliability rows in the C1 report.,missing corpus dir skipped via `if not cdir.is_dir()`.,none,Reused-verbatim dev-bed loop over the pinned DEV_BEDS list.,blind-reader:g3_grading
43,literal|tools/batch_analyze.cpp|2589#0,harness,literal,tools/batch_analyze.cpp,2589,0.0 in runReachBackAB,no,ESTABLISHED,accumulators start at zero.,offMsTotal/onMsTotal aggregates in the A/B JSON.,the --reachback-ab timing summary.,0.0 accumulator initializers.,none,Zero-initializers; structural.,blind-reader:g4_harness
44,branch|tools/batch_analyze.cpp|4077#0,harness,branch,tools/batch_analyze.cpp,4077,else-if in main,,SURVIVES,--seq-per-fifth supplies a numeric override for the per-fifth-step cost.,sets seqPrefs.changePerFifthStep.,runKeyModeDecode (4363) → KeyModeSequenceDecoder; field used at keymodesequence.cpp:239.,parsed with error-checked toDouble; feeds the change cost.,none,Arg parsed and consumed downstream (grep-verified).,blind-reader:g4_harness
45,literal|tools/stage5_fit_driver.py|620#0,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,620,0.005 in main,no,ESTABLISHED,the identity-override regen should reproduce the ratified variant-(b) root baseline to ~2 dp.,the fixture MATCH/MISMATCH tolerance for the reproduce-check.,"fixture PASS/FAIL gate (RATIFIED = {Baroque 63.36, Jazz 62.37, Default 63.25}, matching CLAUDE.md block-A baselines).",0.005 pp is a tight reproduce tolerance (~2-decimal-place identity); RATIFIED values verified against the CLAUDE.md ratified root-agree baselines.,none,"Reproduce-check assertion tolerance; structural (2-dp identity), and the reference baselines are the documented ratified figures.",blind-reader:g3_grading
46,field|src/composing/analysis/function/functionoutput.h|121#0,dormant_resolver,field,src/composing/analysis/function/functionoutput.h,121,FunctionAnalysisUnit::relationalRole,,SURVIVES,an assembled unit's relational role defaults to None until classifyRelationalLabel supplies one upstream.,the per-unit relational role in the L5->L6 output contract.,assembleFunctionOutput() sets u.relationalRole = in.relational.role; L6/display + tests read it.,default None (no relational role fired).,none,"Legitimate output-contract field; PUBLISHED once in the §7 unit, consumers read it. Belongs here.",blind-reader:g1a_resolver
47,literal|tools/characterise_bir_false.py|110#0,instrument_core,literal,tools/characterise_bir_false.py,110,7 in <module-scope>,no,ESTABLISHED,delta==7 semitones between our root and DCML root == a perfect fifth ('our root = 5th of DCML').,none (INTERVAL_NAMES is a human-readable display label table).,the delta-group print and dump_group diagnostics.,7 = perfect-fifth interval in semitones; label is correct (our root a P5 above DCML root IS the 5th of the DCML chord). Presentation only.,none,"Structural interval label, correct; not a tuned magnitude.",blind-reader:g2b_core2
48,branch|tools/a8_rebaseline_measure.py|193#0,instrument_core,branch,tools/a8_rebaseline_measure.py,193,if in build_piece_grid,,SURVIVES,grid is a sorted list of distinct tick boundaries (built from a set).,none.,build_piece_grid cell loop.,"Defensively unreachable: grid = sorted(set(bounds)) so consecutive elements are strictly increasing, t1-t0 is always >0. Harmless belt-and-suspenders; masks nothing (a would-be zero cell is simply skipped).",none,Defensive guard that cannot fire given sorted-set bounds; no functional or silent-failure impact.,blind-reader:g2b_core2
49,branch|tools/batch_analyze.cpp|1178#0,harness,branch,tools/batch_analyze.cpp,1178,ternary in writeJointKeyJson,,SURVIVES,d.jointChanged is a bool decision-record field.,jointChanged boolean into jointKey.decisions JSON.,the --dump-joint-key JSON.,emits JSON literal true/false correctly from a bool.,none,Correct bool-to-JSON emission.,blind-reader:g4_harness
50,branch|tools/batch_analyze.cpp|3982#0,harness,branch,tools/batch_analyze.cpp,3982,else-if in main,,SURVIVES,--reachback-ab sets the reachBackAB flag.,sets reachBackAB (declared 3902).,consumed at 4409 (if reachBackAB) → runReachBackAB.,flag parsed and actually dispatched; not orphaned.,none,Arg parsed and consumed.,blind-reader:g4_harness
51,function|tools/calibration_fit.py|293#0,instrument_grading_fitting,function,tools/calibration_fit.py,293,main(),,SURVIVES,split registry + km/fs C1 dumps + per-carrier corpus manifests exist.,"PUBLISHED — writes stage5_classP_l3_key_margin_{carrier}.json and stage5_classP_l4_chord_composite_{carrier}.json calibration maps (fitted on fitting split, validated on held_out).",the calibration_maps/ artifacts (Stage-5 Class-M->P reliability maps); Jazz deliberately UNMAPPED (A-7).,"measurement+artifact only, no behaviour change; fit/held-out split stamped with corpus_git_hash in each artifact.",none,Fitting driver main; established via held-out ECE + explicit split/hash stamping; DCML-licensed pool.,blind-reader:g3_grading
52,branch|tools/calibration_fit.py|310#0,instrument_grading_fitting,branch,tools/calibration_fit.py,310,for in main,,SURVIVES,"CARRIERS = [baroque, default] (Jazz excluded by A-7).",drives per-carrier map fitting.,collect_l3/collect_l4 + fit_row per carrier.,Jazz correctly absent from the carrier loop (A-7 unmapped).,none,Per-carrier fit loop; carrier scope matches the documented A-7 idiom-#2 constraint.,blind-reader:g3_grading
53,crosslayer|tools/batch_analyze.cpp|113#0,harness,crosslayer,tools/batch_analyze.cpp,113,include composing/analysis/voiceleading/textureclassifier.h -> voiceleading,,SURVIVES,the voiceleading TextureClassifier layer is a valid dependency for the harness.,"feeds the --dump-vl diagnostic (textureClass JSON), a dormant/measurement dump.","classifyTexture / vl::TextureClass used in runVlDump (2797, 2808-2814).","harness may include any analysis layer since it drives the whole pipeline; used, not dead.",none,"Legitimate crosslayer include, actively consumed by runVlDump.",blind-reader:g4_harness
54,branch|tools/stage5_fit_driver.py|575#0,instrument_grading_fitting,branch,tools/stage5_fit_driver.py,575,if in main,,SURVIVES,resume mode: a rule already in the ledger should be skipped.,the audit-mode resume skip.,audit loop over POST_SCORING_RULES.,done set populated from prior ledger record=='rule' rows.,none,Standard resume/idempotency guard.,blind-reader:g3_grading
55,field|src/composing/analysis/function/functionprogression.h|142#0,dormant_resolver,field,src/composing/analysis/function/functionprogression.h,142,ProgressionSlice::startTick,,SURVIVES,raw integer slice start tick.,slice onset tick provenance.,input POD field for downstream tick mapping; not read by the stream predicates.,default 0.,none,Legitimate provenance field of the dormant input view.,blind-reader:g1b_cadence
56,branch|tools/stage5_fit_driver.py|526#0,instrument_grading_fitting,branch,tools/stage5_fit_driver.py,526,if in main,,SURVIVES,best (best feasible point) may be None when no feasible candidate exists.,guards printing the best-feasible candidate summary.,fit-mode stdout summary.,None handled by the UNFITTABLE-UNDER-CONSTRAINT result branch below.,none,Correct None-guard on the feasible-set optimizer result.,blind-reader:g3_grading
57,branch|tools/compare_rn.py|931#0,instrument_core,branch,tools/compare_rn.py,931,if in main,,SURVIVES,quality breakdown only meaningful when aggregate has matched pairs.,nothing (gates optional report section).,"main CLI, cross-corpus path.",Guards a /matched division and empty tables. CLI-only.,none,CLI report-gating guard.,blind-reader:g2a_core1
58,function|tools/batch_analyze.cpp|485#0,harness,function,tools/batch_analyze.cpp,485,inferLocalKey(),,SURVIVES,the shared keyresolver::resolveKeyAndModeRanked is the one key-resolution path (unification).,"returns ranked key candidates; [0]=winner feeds region key, [1] the keyModeRunnerUp field.",AnalyzedRegion key population on the region pipeline.,"thin adapter, no re-derivation — delegates entirely to the shared resolver (docs §5.3 dedup).",none,Thin wrapper honoring total-unification; no duplicated logic.,blind-reader:g4_harness
