process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
11,literal|tools/stage5_fit_driver.py|519#1,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,519,6 in main,no,ESTABLISHED,none,6-decimal rounding of the refine candidate value,the fit refine loop,rounds both +/-step candidates,none,floating-point rounding precision constant,second-reader
12,io|tools/stage5_fit_driver.py|609#0,instrument_grading_fitting,io,tools/stage5_fit_driver.py,609,loads in main,,SURVIVES,stage5_split_registry.json present,none (reads the fitting/holdout split),the fixture split,read_text raises if missing (not silent),none,reads the fit/holdout split registry,second-reader
13,function|tools/batch_analyze.cpp|3693#0,harness,function,tools/batch_analyze.cpp,3693,runJointProbe(),,SURVIVES,none,joint key+chord probe JSON (diagnostic),the joint key-chord design probe (dormant/diagnostic path),"diagnostic path only, not on the byte-identical corpus path",none,diagnostic joint-probe harness,second-reader
14,branch|tools/run_bach_preset.py|363#0,instrument_core,branch,tools/run_bach_preset.py,363,if in main,,SURVIVES,none,none,corpus regen driver,exe None and not skip_cpp -> hard error + exit 1,none,fails loud when batch_analyze is missing,second-reader
15,branch|src/composing/analysis/function/functionresolver.cpp|119#1,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,119,case in degreeFunctionalBias,,SURVIVES,2̂/4̂ are pre-dominant scale degrees (functional-harmony THEORY),FunctionalBias::Predominant,bassScaleDegreeBias / resolver,6̂ and chromatic -> None via default,none,standard scale-degree->function map (§5.7); premise is published THEORY,second-reader
16,io|tools/c1_reliability.py|409#1,instrument_grading_fitting,io,tools/c1_reliability.py,409,dumps in main,,SURVIVES,none,none (writes the reliability report JSON),downstream reliability analysis,write_text raises on IO error,none,writes the C1 reliability report,second-reader
17,branch|src/composing/analysis/function/functioncadence.cpp|521#0,dormant_resolver,branch,src/composing/analysis/function/functioncadence.cpp,521,if in detectFunctionalCadences,,SURVIVES,none,a detected cadence appended to the region markers,detectFunctionalCadences result,"only pushes when a type was matched (authentic..evaded, first match wins)",none,records a detected cadence after the fixed-precedence trials,second-reader
18,branch|tools/compare_analyses.py|533#0,instrument_core,branch,tools/compare_analyses.py,533,if in align_dcml_regions,,SURVIVES,time-overlap is the default alignment; beat-snap is legacy,none,align_dcml_regions callers,no spans -> all None,none,"alignment-mode dispatch; the legacy beat-snap path is retained but not default (possible future dormancy, not a defect)",second-reader
19,branch|tools/music21_batch.py|310#0,instrument_grading_fitting,branch,tools/music21_batch.py,310,for in stem_from_corpus_path,,SURVIVES,none,the stem (extension stripped),stem_from_corpus_path callers,"iterates known score extensions, first match strips",none,strips known score extensions from the corpus stem,second-reader
20,branch|tools/batch_analyze.cpp|3002#0,harness,branch,tools/batch_analyze.cpp,3002,case in fsAmbiguityKindName,,SURVIVES,none,the string name 'SymmetricRotation',ambiguity-kind JSON emission,exhaustive enum switch with a None fallback,none,enum->string mapping for the ambiguity-kind diagnostic,second-reader
21,literal|tools/batch_analyze.cpp|2565#0,harness,literal,tools/batch_analyze.cpp,2565,24 in runReachBackAB,no,ESTABLISHED,none,the reach-back diagnostic range cap,runReachBackAB,"first 24 interior measures, measure 1 skipped",none,"documented diagnostic bound (a quick reach-back A/B), not a metric",second-reader
22,function|tools/a8_rebaseline_measure.py|80#0,instrument_core,function,tools/a8_rebaseline_measure.py,80,_t_invariant(),,SURVIVES,"transposition-invariance detects symmetric pc-sets (FACT, exact)",boolean symmetry test,the class-(a)/(b) symmetric-set classifier,empty set -> False,none,exact transposition-invariance test for symmetric-set detection,second-reader
23,field|src/composing/analysis/function/functioncadence.h|172#0,dormant_resolver,field,src/composing/analysis/function/functioncadence.h,172,FunctionalCadence::approachTick,,SURVIVES,none,the cadence approach start-tick,cadence markers,-1 sentinel = unset,none,"clean data member, -1 sentinel",second-reader
24,branch|tools/oracle_root_metric.py|159#0,instrument_grading_fitting,branch,tools/oracle_root_metric.py,159,try in load_dir,,SURVIVES,pieces whose ours/m21 fail to load are skippable in a diagnostic,none,the oracle-root grading loop,except:continue silently skips an unloadable piece; the skip count is not logged,low: except:continue at 159 silently drops a piece whose .ours/.music21 fails to load without logging a count — acceptable for a diagnostic metric but asymmetric with the core instruments' fail-loud stance,"loads ours+m21 per piece; tolerant skip of unloadable/oracle-less pieces (diagnostic grading, not the regression gate)",second-reader
25,branch|tools/batch_analyze.cpp|922#0,harness,branch,tools/batch_analyze.cpp,922,ternary in writeKeyCandidateDump,,SURVIVES,none,JSON array element separator,writeKeyCandidateDump output,"comma between elements, newline after the last",none,correct JSON array separator emission,second-reader
26,literal|tools/batch_analyze.cpp|523#0,harness,literal,tools/batch_analyze.cpp,523,0.0 in <file-scope>,no,ESTABLISHED,none,"L3 sequence-margin confidence (batch diagnostic field), 0.0-init",--dump-region-keymargin / C1 reliability,standard writeJson never reads it (byte-identical corpus),none,"diagnostic field with a 0.0 initializer, consumed only by the keymargin dump",second-reader
27,branch|src/composing/analysis/function/functionprogression.cpp|32#0,dormant_resolver,branch,src/composing/analysis/function/functionprogression.cpp,32,if in rootMotion,,SURVIVES,a negative pc means an absent root (defensive),-1 on absent root,rootMotion callers (the §5.0 motion tests),either root absent -> -1 (licenses nothing),none,defensive absent-root guard; premise is FACT (a missing root licenses no motion),second-reader
28,literal|tools/batch_analyze.cpp|142#0,harness,literal,tools/batch_analyze.cpp,142,8 in jsonEscape,no,ESTABLISHED,none,string reserve headroom,jsonEscape,heuristic +8 bytes for escape expansion,none,string reserve headroom (cosmetic performance),second-reader
29,branch|tools/dcml_parser.py|634#0,instrument_core,branch,tools/dcml_parser.py,634,ternary in parse_rntxt_file,,SURVIVES,an applied chord is rooted in its tonicized target key (corrected-parser music THEORY),effective_key for the primary numeral,_compute_root_pc -> DcmlRegion.root_pc (the ground-truth root),no target -> local key,none,the corrected applied-chord rooting (the documented dcml_parser fix); music-theory-correct,second-reader
30,branch|tools/a8_rebaseline_measure.py|140#0,instrument_core,branch,tools/a8_rebaseline_measure.py,140,if in add_cell,,SURVIVES,none,the keyfail bucket for an unparseable our-key,add_cell key verdict,otc None -> keyfail (not folded into agreement),none,unparseable our-key surfaced as its own keyfail bucket (anti-masking),second-reader
31,function|src/composing/analysis/function/functionrelationallabel.cpp|319#0,dormant_resolver,function,src/composing/analysis/function/functionrelationallabel.cpp,319,classifyRelationalLabel(),,SURVIVES,fixed precedence aug6 > Neapolitan > applied > modal-mixture (§5.6),the RelationalLabel (full RN + role),the §7 function assembly,no role -> plain base numeral carried (always a complete RN),none,clean fixed-precedence relational classifier,second-reader
32,literal|tools/calibration_fit.py|174#0,instrument_grading_fitting,literal,tools/calibration_fit.py,174,1000000.0 in fit_platt,no,ESTABLISHED,none,near-unregularized logistic C,fit_platt (Platt scaling),C=1e6 makes logistic ~ Platt sigmoid,none,standard near-unregularized logistic = Platt scaling (documented in comment),second-reader
33,literal|tools/music21_batch.py|373#6,instrument_grading_fitting,literal,tools/music21_batch.py,373,8 in run_single,no,ESTABLISHED,none,a table dash-rule width,run_single print,matches the '{RN:<8}' column width,none,cosmetic table column dash-rule,second-reader
34,branch|tools/run_bach_preset.py|67#0,instrument_core,branch,tools/run_bach_preset.py,67,try in _detect_music21_version,,SURVIVES,the music21 version read is purely informational (not enforced),the music21 version string (manifest provenance),the corpus manifest,"unreadable header -> None (documented, non-enforced)",none,best-effort informational provenance; validate_corpus_dir does not enforce it,second-reader
35,field|src/composing/analysis/function/functioncadence.h|198#0,dormant_resolver,field,src/composing/analysis/function/functioncadence.h,198,FunctionCadenceParams::wSeventh,,SURVIVES,direction fixed (non-negative); the magnitude is a provisional seed Phase B fits,none (a cadence-vote weight),cadenceTonicVote,seed value while the pipeline is dormant,none,"documented direction-fixed provisional cadence-vote weight, not a tuned magic number",second-reader
36,function|tools/compare_rn.py|164#0,instrument_core,function,tools/compare_rn.py,164,extract_quality(),,SURVIVES,quality lives on the primary numeral; both 'o' and '°' are diminished,a coarse chord-quality token,classify_pair / the quality breakdown,unparseable -> '?'; ø half-dim checked before 'o',none,coarse quality classifier with the documented F-1 diminished fix,second-reader
37,field|src/composing/analysis/function/functionoutput.h|138#0,dormant_resolver,field,src/composing/analysis/function/functionoutput.h,138,FunctionRegionMarkers::cadences,,SURVIVES,none,§5.2 cadence markers (part of the L5->L6 contract),L6 grouping (dormant),empty vector when no cadences detected,none,region cadence-marker output field,second-reader
38,branch|tools/robust_stop_diff.py|143#0,instrument_core,branch,tools/robust_stop_diff.py,143,ternary in _dump,,SURVIVES,the cap is display-only; the full count is computed from all keys,none,the diagnostic _dump print,show_runs==0 -> all; else first N (n and pass/fail use the full set),none,display truncation only; the run count and the pass/fail gate use the full set (no silent metric cap),second-reader
39,literal|tools/stage5_fit_driver.py|336#0,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,336,4 in evaluate,no,ESTABLISHED,none,4-decimal rounding of objective_delta,the fit ledger row,rounds root_pct delta,none,objective-delta rounding precision,second-reader
40,literal|src/composing/analysis/function/tonicizationlabeler.cpp|70#0,dormant_resolver,literal,src/composing/analysis/function/tonicizationlabeler.cpp,70,2 in labelTonicizations,no,ESTABLISHED,none,none,labelTonicizations,<2 regions -> empty labels (need >=2 adjacent to compare applied vs target),none,structural minimum-pair guard,second-reader
