kind,ident,line,func,verdict,subclass,manifest_present,flag,finding_slug,note,context
crosslayer,external,71,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/part.h
crosslayer,external,72,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/instrument.h
crosslayer,external,73,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/keysig.h
crosslayer,external,74,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/layoutbreak.h
crosslayer,external,75,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/mscore.h
crosslayer,external,76,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/pedal.h
crosslayer,external,77,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/instrtemplate.h
crosslayer,external,78,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/dom/sig.h
crosslayer,external,79,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/compat/scoreaccess.h
crosslayer,external,80,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/compat/mscxcompat.h
crosslayer,external,81,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,engraving/infrastructure/localfileinfoprovider.h
crosslayer,types,82,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'types' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,engraving/types/constants.h
crosslayer,external,85,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,importexport/musicxml/musicxmlmodule.h
crosslayer,external,86,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,importexport/musicxml/internal/import/importmusicxml.h
crosslayer,chord,89,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'chord' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/chord/chordanalyzer.h
crosslayer,param,90,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'param' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/param/paramoverride.h
crosslayer,key,91,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'key' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/key/keymodeanalyzer.h
crosslayer,key,92,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'key' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/key/keyresolver.h
crosslayer,key,93,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'key' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/key/modepriorpresets.h
crosslayer,chord,94,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'chord' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/chord/analysisutils.h
crosslayer,region,95,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'region' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/region/regionanalyzer.h
crosslayer,section,96,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'section' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/section/sectionanalyzer.h
crosslayer,section,97,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'section' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/section/cadencekeyanchor.h
crosslayer,section,98,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'section' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/section/localmodulationdetector.h
crosslayer,section,99,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'section' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/section/jointkeydecision.h
crosslayer,function,100,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/tonicizationlabeler.h
crosslayer,function,101,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionrelationallabel.h
crosslayer,function,102,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionoutput.h
crosslayer,function,103,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionprogression.h
crosslayer,function,104,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functioncadence.h
crosslayer,function,105,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionresolver.h
crosslayer,function,106,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionmodulation.h
crosslayer,function,107,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'function' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/function/functionromannumeral.h
crosslayer,scoreharvest,108,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'scoreharvest' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/scoreharvest/metricweights.h
crosslayer,grouping,109,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'grouping' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/grouping/groupinglayer.h
crosslayer,progression,110,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'progression' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/progression/progressionrecognizer.h
crosslayer,voiceleading,111,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'voiceleading' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/voiceleading/voicelinearview.h
crosslayer,voiceleading,112,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'voiceleading' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/voiceleading/voiceleadingprofiles.h
crosslayer,voiceleading,113,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'voiceleading' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/voiceleading/textureclassifier.h
crosslayer,region,114,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'region' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/region/sparsechordrefinement.h
crosslayer,notemodel,115,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'notemodel' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/notemodel/note_model.h
crosslayer,slicing,116,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'slicing' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/slicing/slicer.h
crosslayer,key,117,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'key' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/key/keymodesequence.h
crosslayer,chord,118,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'chord' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/chord/chordslicedecoder.h
crosslayer,engravingbridge,119,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'engravingbridge' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/engravingbridge/phraseboundaryview.h
crosslayer,engravingbridge,120,<includes>,SURVIVES,layer-consume,,,,Cross-layer include of the 'engravingbridge' analysis area; the top-level driver legitimately consumes that layer's published surface (dependency-appropriate).,composing/analysis/engravingbridge/regiontonecollector.h
crosslayer,external,121,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,composing/analyzed_section.h
crosslayer,external,122,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,notation/internal/notationanalysisinternal.h
crosslayer,external,123,<includes>,SURVIVES,external-substrate,,,,Include of an external framework header (Qt / muse / engraving); harness substrate.,notation/internal/notationcomposingbridge.h
function,jsonEscape,139,jsonEscape,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[139-161]
literal,8,142,jsonEscape,ESTABLISHED,formatting-or-structural,n/a,,,"Serialization precision, index, buffer size, or structural cardinality constant; output-structural, not an inference lever.",r.reserve(s.size() + 8);
branch,switch,144,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard switch branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",switch (c) {
branch,case,145,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard case branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","case '""':  r += ""\\\""""; break;"
branch,case,146,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard case branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","case '\\': r += ""\\\\""; break;"
branch,case,147,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard case branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","case '\n': r += ""\\n"";  break;"
branch,case,148,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard case branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","case '\r': r += ""\\r"";  break;"
branch,case,149,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard case branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","case '\t': r += ""\\t"";  break;"
branch,if,151,jsonEscape,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in jsonEscape; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (c < 0x20) {
literal,0x20,151,jsonEscape,ESTABLISHED,formatting-or-structural,n/a,,,"Serialization precision, index, buffer size, or structural cardinality constant; output-structural, not an inference lever.",if (c < 0x20) {
literal,8,152,jsonEscape,ESTABLISHED,formatting,n/a,,,stack buffer size for snprintf; structural.,char buf[8];
function,fmtDouble,163,fmtDouble,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[163-169]
literal,6,163,fmtDouble,ESTABLISHED,formatting,n/a,,,fmtDouble output precision (significant digits); serialization formatting.,"static std::string fmtDouble(double v, int precision = 6)"
literal,64,166,fmtDouble,ESTABLISHED,formatting,n/a,,,stack buffer size for snprintf; structural.,char buf[64];
function,applyPreset,183,applyPreset,SURVIVES,preset-builder,,,,"The preset builder: the named presets read the single-source modePriorPresets() table (published, consumed — good); the 'Default' branch hand-copies composingconfiguration.cpp (see the flagged mode-prior rows).",[183-245]
branch,if,195,applyPreset,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in applyPreset; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","if (name == ""Default"") {"
literal,1.20,196,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorIonian           =  1.20;
literal,0.50,197,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorDorian           = -0.50;
literal,1.50,198,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorPhrygian         = -1.50;
literal,0.00,199,applyPreset,ESTABLISHED,init-or-neutral,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLydian           =  0.00;
literal,0.20,200,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorMixolydian       = -0.20;
literal,1.00,201,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorAeolian          =  1.00;
literal,3.50,202,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLocrian          = -3.50;
literal,0.50,203,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorMelodicMinor     = -0.50;
literal,1.50,204,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorDorianB2         = -1.50;
literal,1.00,205,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLydianAugmented  = -1.00;
literal,0.30,206,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLydianDominant   = -0.30;
literal,1.00,207,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorMixolydianB6     = -1.00;
literal,2.00,208,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorAeolianB5        = -2.00;
literal,3.50,209,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorAltered          = -3.50;
literal,0.30,210,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorHarmonicMinor    = -0.30;
literal,2.00,211,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLocrianSharp6    = -2.00;
literal,1.50,212,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorIonianSharp5     = -1.50;
literal,1.50,213,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorDorianSharp4     = -1.50;
literal,0.80,214,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorPhrygianDominant = -0.80;
literal,2.00,215,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorLydianSharp2     = -2.00;
literal,3.50,216,applyPreset,ESTABLISHED,formatting-or-structural,no,yes,default-preset-mode-priors-hand-copied,One of 21 mode-prior values hand-copied from composingconfiguration.cpp into applyPreset()'s 'Default' branch; sync is enforced ONLY by a code comment (no mechanical check) and the values are NOT recorded in tools/param_manifest.json (which is chord-scoring scoped) — a value-copied inference-affecting constant (guiding #6 unification / #17f manifest).,prefs.modePriorAlteredDomBB7    = -3.50;
branch,if,220,applyPreset,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in applyPreset; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (p.name != name) continue;
function,initModules,255,initModules,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[255-314]
function,loadScore,323,loadScore,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[323-362]
branch,if,337,loadScore,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in loadScore; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","if (ext == ""xml"" || ext == ""musicxml"") {"
branch,else-if,341,loadScore,SURVIVES,serialization-guard,,,,"Serialization / guard else-if branch in loadScore; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","} else if (ext == ""mxl"") {"
branch,if,352,loadScore,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in loadScore; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!ok) {
function,isChordTrackStaff,371,isChordTrackStaff,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[371-379]
branch,if,373,isChordTrackStaff,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in isChordTrackStaff; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!staff || !staff->part()) return false;
function,staffIsEligible,383,staffIsEligible,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[383-394]
branch,if,386,staffIsEligible,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in staffIsEligible; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (staffIdx >= staves.size()) return false;
branch,if,388,staffIsEligible,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in staffIsEligible; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!st || !st->visible()) return false;
branch,if,390,staffIsEligible,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in staffIsEligible; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!part) return false;
branch,if,392,staffIsEligible,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in staffIsEligible; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (instr && instr->useDrumset()) return false;
function,referenceStaffForAnalysis,404,referenceStaffForAnalysis,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[404-413]
branch,if,408,referenceStaffForAnalysis,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in referenceStaffForAnalysis; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).","if (!excludeStaves.count(staffIndex) && staffIsEligible(score, staffIndex)) {"
function,pitchClassMask,420,pitchClassMask,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[420-427]
literal,12,424,pitchClassMask,ESTABLISHED,music-theory,n/a,,,"Pitch-class / fifths arithmetic (12 pcs, 7=fifths-per-step); a music-theory fact.",mask |= static_cast<uint16_t>(1u << (t.pitch % 12));
function,locateMeasureByTick,438,locateMeasureByTick,SURVIVES,plumbing,,,,"Harness plumbing / formatting helper (JSON escaping, name mappers, module init, score load, staff eligibility, measure location); no inference decision.",[438-470]
branch,if,440,locateMeasureByTick,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in locateMeasureByTick; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!score) {
branch,if,451,locateMeasureByTick,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in locateMeasureByTick; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (tick >= measure->tick() && tick < measure->endTick()) {
branch,if,455,locateMeasureByTick,SURVIVES,serialization-guard,,,,"Serialization / guard if branch in locateMeasureByTick; shapes JSON output or guards an edge case (empty regions, missing measure, absent chord).",if (!measure->excludeFromNumbering()) {
