file,dimension,locator,line,verdict,rubric_class,reason,flagged,finding
src/composing/analysis/function/functioncadence.cpp,branch,if@512,512,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@515,515,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@518,518,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@521,521,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@58,58,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@62,62,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@84,84,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@88,88,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,if@91,91,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,switch@182,182,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,ternary@149,149,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,ternary@196,196,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,ternary@274,274,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,ternary@375,375,SURVIVES,branch,"THEORY (music-theory / design decision): a functional-harmony test whose premise is cited to the signed design §5.x (root-motion, cadence-form, precedence, or the firewall threshold direction). Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,branch,ternary@381,381,SURVIVES,branch,"FACT (defensive): a structural range/null/empty guard — a construction invariant, not a musical judgment. Dormant.",no,
src/composing/analysis/function/functioncadence.cpp,crosslayer,functioncadence.h@22,22,SURVIVES,crosslayer,external/std-library include; no layer coupling.,no,
src/composing/analysis/function/functioncadence.cpp,crosslayer,functionprogression.h@24,24,SURVIVES,crosslayer,external/std-library include; no layer coupling.,no,
src/composing/analysis/function/functioncadence.cpp,function,cadenceTonicVote@159,159,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,detectFunctionalCadences@495,495,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,dominantSeventhPresent@126,126,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,dominantTritonePresent@72,72,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,eventHasPc@38,38,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,isGenuineDominant@136,136,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,isPredominant@82,82,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,isRootPosition@100,100,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,isSecondInversionTonicTriad@105,105,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,leadingToneResolves@117,117,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,makeNone@208,208,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,norm@32,32,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,tryAuthentic@214,214,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,tryDeceptive@289,289,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,tryEvaded@438,438,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,tryHalf@346,346,ASSUMPTION,code,"tryHalf sets genuineDominant=false unconditionally, so a seventh (or inverted) half cadence gets the same vote as a plain-triad half; §5.2 fixes the direction that a seventh weakens a half (""down-weighted, not excluded"") — the direction is absent, not merely un-tuned. [finding anchor src/composing/analysis/function/functioncadence.cpp:387]",yes,half-cadence-no-seventh-downweight
src/composing/analysis/function/functioncadence.cpp,function,tryPlagal@394,394,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,function,voiceMovesFromTo@52,52,SURVIVES,code,L5-DORMANT function in the §5.2 key-agnostic event-pair cadence detector; no production consumer (only functioncadence_tests + the batch_analyze diagnostic); byte-identical on production.,no,
src/composing/analysis/function/functioncadence.cpp,literal,[0.0]@196,196,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[0.0]@196,196,ESTABLISHED,constant,"Structural double (a zero/one identity default, a [0,1] clamp bound, a boolean-as-double 1/0 indicator, or a >0 guard) — not a tuned parameter.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[10]@133,133,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@123,123,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@238,238,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@316,316,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@370,370,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@453,453,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[11]@74,74,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[12]@34,34,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
src/composing/analysis/function/functioncadence.cpp,literal,[12]@34,34,ESTABLISHED,constant,"Music-theory interval or structural integer (a mod-12 root-motion/scale-degree constant, the octave modulus 12, an array size 5/7, or a -1/0 sentinel/index) — established by theory or by construction, not tuned.",no,
