name,layer,liveness,decl_site,apply_site,form,constants,consumers,roster_factor,roster_factor_text,constants_in_param_manifest,constants_not_in_param_manifest,hand_verified,notes
augFactor,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1487-1505,src/composing/analysis/function/harmonicfunctionlayer.cpp:427,"multiplicative halving (x0.5, can apply twice) for Augmented templates on thin/bare-root evidence",kAugThinEvidenceFactor=0.5 [hand-set],score multiply (af),F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,kAugThinEvidenceFactor,yes,Iter-78/79
wComplete,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1519-1550,src/composing/analysis/function/harmonicfunctionlayer.cpp:428,flat additive bonus: joint scoring + root-position + exactly 3 distinct pcs + all triad tones present > presence bar,kWComplete=0.50 [hand-set]; kWCompletePresenceThreshold=0.05 [hand-set],post-multiply score add,F9,bass-motion skeletons -> bass/inversion emission,kWComplete,kWCompletePresenceThreshold,yes,Iter-92; root-position complete triads outrank slash readings
detectExtensions thresholds,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:270-383,"src/composing/analysis/chord/chordanalyzer.cpp:976,981,997,1095",hard presence thresholds deciding identity extension bits (not score),kSeventhThreshold=0.12 [hand-set]; kExtensionThreshold=0.20 [hand-set],identity.extensions,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",kSeventhThreshold,kExtensionThreshold,yes,"inline higher bars 0.3 (#11 :357, b13 :377) and 0.2 (:378) — OI-106b class"
"pcWeight floor max(0.1, w)",L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1133,src/composing/analysis/chord/chordanalyzer.cpp:1133,per-tone weight floor before scoring (every sounding tone counts at least 0.1),"pcWeightFloor=0.1 [hand-set, inline]",pcWeight histogram,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,pcWeightFloor,yes,interacts with kSeventhThreshold (must exceed the floor)
bass-candidate enumeration,L4-oracle,live,"src/composing/analysis/chord/chordanalyzer.cpp:1161,1176-1276",src/composing/analysis/chord/chordanalyzer.cpp:1248-1252,"hard gates: enumeration fires on (onset-true AND onset-false present) OR sparse-upper (distinctPc<=2, >=2 cands, lowestPitch>60); weight filter fraction; cap 4 candidates","bassPassingToneMinWeightFraction=0.05 [hand-set]; bassCandCap=4 [hand-set, inline]; registerCutoffMidi=60 [hand-set, inline]","joint (bass,root,template) grid",F9,bass-motion skeletons -> bass/inversion emission,bassPassingToneMinWeightFraction,bassCandCap;registerCutoffMidi,yes,Iter-92 joint scoring
hasStructuralBass,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1320,src/composing/analysis/chord/chordanalyzer.cpp:1600-1605,hard gate: lowestPitch<=60 OR distinctPcs>=3; ANDed into inversion-bonus eligibility flags,"structural (bars 60 / 3) [hand-set, inline]",supportsInversionBonuses / qualifiesCompleteTriad,F9,bass-motion skeletons -> bass/inversion emission,,,yes,sparse upper-register bass gets no inversion bonuses
jointScoringEnabled,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1166-1172,src/composing/analysis/function/harmonicfunctionlayer.cpp (wSeq/wDim/wStep gates),hard gate: any tone has onsetAtRegionStart or distinctMetricPositions>0 (i.e. came from regional accumulation),structural,wComplete/wSeq/wDim/wStep firing,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,,yes,
minDistinctPcsForCandidate,L4-oracle,live,src/composing/analysis/types/analysistypes.h:374,src/composing/analysis/chord/chordanalyzer.cpp:1304,hard admission gate: fewer distinct pcs than this -> no candidates (segmenter relaxes to 1; Pass-1 sparse-admission retries at 1),minDistinctPcsForCandidate=3 [hand-set],analyzeChord admission,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",minDistinctPcsForCandidate,,yes,
buildChordResult: degree + diatonicToKey,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:1002-1062,published on ChordAnalysisResult,lookup: degree = index of rootPc in (keyTonicPc + parent-scale) — TONIC-relative; diatonicToKey = degree>=0 AND every pc with weight>0.2 in parent scale,"diatonicWeightBar=0.2 [hand-set, inline]",post-scoring gates read scale/keyTonicPc; published flag read by notationimplodebridge.cpp:1205,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,diatonicWeightBar,yes,OI-170/OI-173 carried defect sites (class-(a) collection-through-tonic; parent-scale degree basis); default-OFF signature-mask twin :1038-1062
quality normalizations in buildChordResult,L4-oracle,live,src/composing/analysis/chord/chordanalyzer.cpp:921-998,results[],hard rewrites: augmented root correction (bass pc present>0.05); Sus2->Sus4 upgrade when P4 sounding; Sus->Major+omitsThird when Maj7 present and no third (>0.2 bars),"presenceBars=0.05/0.2 [hand-set, inline]",results[] identity,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,presenceBars,yes,
rootContinuityBonus + Gate R,L4-competition,live,"src/composing/analysis/types/analysistypes.h:219; src/composing/analysis/function/harmonicfunctionlayer.cpp:54-58,237-242,274-284",src/composing/analysis/function/harmonicfunctionlayer.cpp:423-425,"additive continuity bonus when candidateRoot==previousRoot, folded pre-multiply; Gate R (hard) zeroes it when rcb>0 AND fullBasisDep<=0 AND bass foreign to template (kMasks lookup), Final phase only",rootContinuityBonus=0.40 [hand-set],competition score,F5,progression grammaticality -> chord transition term,rootContinuityBonus,,yes,self-transition prior in disguise; Gate R masks derived from kTemplateIntervals [derived]
resolutionEdgeBonus,L4-competition,live,src/composing/analysis/types/analysistypes.h:226; src/composing/analysis/function/harmonicfunctionlayer.cpp:120-146,src/composing/analysis/function/harmonicfunctionlayer.cpp:410-412,additive: prevDim->Maj/min semitone up; prevHalfDim->Maj P4 up; prevAug->same root,resolutionBonus=0.35 [hand-set],fullBasisIndep (pre-multiply),F5,progression grammaticality -> chord transition term,resolutionBonus,,yes,a 3-rule resolution-grammar fragment
inversionContextBonus (4 bonuses + cap),L4-competition,live,src/composing/analysis/types/analysistypes.h:245-287; src/composing/analysis/function/harmonicfunctionlayer.cpp:148-179,src/composing/analysis/function/harmonicfunctionlayer.cpp:413-417,"additive sum: completeTriad (stepwise evidence) + stepwiseFromPrev + stepwiseToNext + sameRoot, clamped at cap (cap non-binding: sums 1.85/0.75)",stepwiseBassInversionBonus=0.5 [hand-set]; stepwiseBassLookaheadBonus=0.5 [hand-set]; completeTriadInversionBonus=0.45 [hand-set]; sameRootInversionBonus=0.4 [hand-set]; maxTotalInversionContextBonus=2.0 [hand-set],fullBasisDep,F9,bass-motion skeletons -> bass/inversion emission,completeTriadInversionBonus;maxTotalInversionContextBonus;sameRootInversionBonus;stepwiseBassInversionBonus;stepwiseBassLookaheadBonus,,yes,Jazz preset overrides: 0.20/0.20/0.20/0.15 (batch_analyze.cpp:4230-4233)
wSeqBonus,L4-competition,live,src/composing/analysis/function/harmonicfunctionlayer.h:125; src/composing/analysis/function/harmonicfunctionlayer.cpp:60-67,src/composing/analysis/function/harmonicfunctionlayer.cpp:429-432,"additive: next root a P4 above candidate root (V->I), distinctPcs>=4, Final phase",kWSeq=0.20 [hand-set],post-multiply score add,F5,progression grammaticality -> chord transition term,kWSeq,,yes,
wDimBonus + post-bonus quality guard,L4-competition,live,"src/composing/analysis/function/harmonicfunctionlayer.h:126; src/composing/analysis/function/harmonicfunctionlayer.cpp:69-78,479-496",src/composing/analysis/function/harmonicfunctionlayer.cpp:433-438,"additive: Dim/HalfDim one semitone below next root, distinctPcs>=4; guard: accept with-wDim winner only if Dim/HalfDim else fall back",kWDim=0.15 [hand-set],winner variant selection,F5,progression grammaticality -> chord transition term,kWDim,,yes,"rotation-correction signal, not quality-flip (guard enforces)"
wStepIn/wStepOut + surgical guard,L4-competition,live,"src/composing/analysis/function/harmonicfunctionlayer.h:127-129; src/composing/analysis/function/harmonicfunctionlayer.cpp:89-111,309-353",src/composing/analysis/function/harmonicfunctionlayer.cpp:451-454,"additive stepwise-bass bonuses (root-position, non-Power, Final phase); blocked when an m7-family competitor a m3 below bass is within kStepBudget",kWStepIn=0.125 [fit-adopted (2.2e); 0.10 on Jazz/Standard carriers]; kWStepOut=0.10 [hand-set]; kStepBudget=0.235 [derived kWStepIn+kWStepOut+0.01],post-multiply score add,F9,bass-motion skeletons -> bass/inversion emission,kWStepIn;kWStepOut,kStepBudget,yes,the ONLY robust-unit-fitted value in the system (OI-23); 4 load-bearing gates
ScoringPhase gating,L4-competition,live,src/composing/analysis/types/analysistypes.h:386; src/composing/analysis/function/harmonicfunctionlayer.cpp:374,all progression-signal call sites,hard phase gate: Segmentation phase suppresses wStep/wSeq/wDim and Gate R (rcb stays active),structural,segmentation vs final scoring,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,,yes,keeps segmentation independent of progression signals
kScoreThresholdRatio + result cap + diff-root append,L4-competition,live,src/composing/analysis/function/harmonicfunctionlayer.h:135; src/composing/analysis/function/harmonicfunctionlayer.cpp:508-549,"src/composing/analysis/function/harmonicfunctionlayer.cpp:510,521,524,533-549",carry policy: threshold=(best - winnerBassBonus)*ratio; cap 3 results; guaranteed different-root append when winner bass-rooted,"kScoreThresholdRatio=0.75 [hand-set]; resultCap=3 [hand-set, inline]",results[]/alternatives[] (L5-consumed carry),NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kScoreThresholdRatio;resultCap,yes,"output-surface carry policy, not an inference factor; information-loss relevant (#12, OI-9)"
cross-bass winner selection + tie policy,L4-competition,live,src/composing/analysis/function/harmonicfunctionlayer.cpp:388-504,src/composing/analysis/function/harmonicfunctionlayer.cpp:499-504,"argmax over all (bass,root,template) cells; exact-double compare, then lower tiePriority (template index), then lower rootPc",structural,committed winner,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,near-ties unprotected (documented FP fragility)
gate outer guard,L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:154-157,src/composing/analysis/chord/postscoringgates.cpp:154,hard gate over ALL rules: inversionSuspicionMargin>0 AND inversionBonusReduction<1 AND >=2 results AND distinctPcs>=3,inversionSuspicionMargin=0.70 [hand-set]; inversionBonusReduction=0.0 [hand-set],whole gate block,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),inversionBonusReduction;inversionSuspicionMargin,,yes,disabling the margin disables every gate (pinned F2/F3)
bias correction,L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:320-360,src/composing/analysis/chord/postscoringgates.cpp:334-339,subtractive deduction bassNoteRootBonus*(1-reduction) from bass-root Maj/Min winner when margin < suspicion margin; seventh-exempt; then stable re-sort,inversionSuspicionMargin=0.70 [hand-set],re-ranked results[],F9,bass-motion skeletons -> bass/inversion emission,inversionSuspicionMargin,,yes,counteracts bass-root bonus over-fire on inversions
HalfDim first-inversion bonus,L4-gates,live,"src/composing/analysis/chord/postscoringgates.cpp:48,217-239",src/composing/analysis/chord/postscoringgates.cpp:351-356,additive bonus to a HalfDim inversion alt inside the flip block (preferMinorOverMajorAdd6 carriers),kHalfDimFirstInversionBonus=0.55 [hand-set],bias-correction re-sort,F9,bass-motion skeletons -> bass/inversion emission,kHalfDimFirstInversionBonus,,yes,Iter-61 Option B
FM2 enharmonic flip (Major-add6 <-> Minor7),L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:273-282,src/composing/analysis/chord/postscoringgates.cpp:278,"hard promotion (swap-or-append) of Minor at (root+9)%12 when winner Major+add6, preset-gated",preferMinorOverMajorAdd6=true(Baroque/Standard)/false(Jazz/Default) [hand-set preset],winner,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),preferMinorOverMajorAdd6,,yes,enharmonic-identity disambiguation; nearest factor: spelling-conditioned emission (F3) should decide this
Gate E (first-inversion Minor->Major),L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:295-311,src/composing/analysis/chord/postscoringgates.cpp:307,"hard swap: winner Minor, Major alt at (root+8)%12 sounding, stepwise bass evidence",structural (uses extensionThreshold),winner,F9,bass-motion skeletons -> bass/inversion emission,,,yes,DEFER disposition (Stage-5 audit)
Gates G-E / G-D (Minor-add6 <-> HalfDim7),L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:380-407,src/composing/analysis/chord/postscoringgates.cpp:403,"hard promotion of HalfDim7 at (root+9)%12: G-E on key-degree membership {LT, supertonic, mediant} (TONIC-relative); G-D on >=2 consecutive stepwise bass",structural (degree offsets 11/2/4; count>=2),winner,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,"G-E is a genuine-tonic (degree) site — OI-170 class-(b), 58 winner swaps Baroque; enharmonic disambiguation via key function"
Gate H (augmented rotation),L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:421-461,src/composing/analysis/chord/postscoringgates.cpp:441-461,"hard swap among augmented enharmonic rotations {+4,+8} on temporal sub-gates (next-root match / recent roots / stepwise count>=2)",structural,winner,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,class-(a) rotation churn family; DEFER disposition
Gate I (first-inversion Major over root-position Minor),L4-gates,live,"src/composing/analysis/chord/postscoringgates.cpp:46,474-518",src/composing/analysis/chord/postscoringgates.cpp:517-518,"hard swap: same bass, I4 interval, root diatonic (TONIC-anchored scale loop — OI-170 class-(a) site), margin <= kGateIMargin",kGateIMargin=0.45 [hand-set],winner,F9,bass-motion skeletons -> bass/inversion emission,,kGateIMargin,yes,RETAIN-structural (disabling adds +5 class-(b) Jazz)
Gate L (Major over Augmented same-root),L4-gates,live,"src/composing/analysis/chord/postscoringgates.cpp:47,541-576",src/composing/analysis/chord/postscoringgates.cpp:575-576,"hard swap: Major alt at same root+bass, diatonic (TONIC-anchored — OI-170 class-(a) site), margin <= kGateLMargin, seventh-excluded",kGateLMargin=0.35 [hand-set],winner,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kGateLMargin,yes,quality correction (Aug->Maj); RETAIN (18 Jazz sites)
Gate J (viio -> V7),L4-gates,live,src/composing/analysis/chord/postscoringgates.cpp:592-612,src/composing/analysis/chord/postscoringgates.cpp:608,hard swap: root-position Dim triad with M3-below pc sounding -> Major+m7 rooted there (V6/5 reading),structural (uses extensionThreshold),winner,F5,progression grammaticality -> chord transition term,,,yes,RETAIN (catastrophic on Jazz if disabled)
Iter-86 bass-b7 promotion,L4-postpass,live,src/composing/analysis/chord/chordpostpasses.cpp:135-149,src/composing/analysis/chord/chordpostpasses.cpp:147,in-place extension stamp: bass at b7 of a plain Maj/Min winner above extensionThreshold -> MinorSeventh added,structural (interval 10),winner extensions (suppresses pedal check),F9,bass-motion skeletons -> bass/inversion emission,,,yes,
Iter-91 bass-as-root promotion,L4-postpass,live,src/composing/analysis/chord/chordpostpasses.cpp:163-188,src/composing/analysis/chord/chordpostpasses.cpp:183-186,"hard append-promotion when next region's root equals current bass and delta/quality pattern matches (A: 8+Minor, B: 9+Major)",structural (deltas 8/9),winner,F5,progression grammaticality -> chord transition term,,,yes,forward-context gated
pedal-point two-pass check,L4-postpass,live,src/composing/analysis/chord/chordpostpasses.cpp:190-277,src/composing/analysis/chord/chordpostpasses.cpp:271-277,conditional replacement: bass not a chord tone + >=2 upper pcs -> re-analyze upper voices; commit when sigmoid(1/(1+exp(-1.5*(gap-2.0)))) >= threshold,"pedalConfidenceThreshold=0.65 [hand-set]; pedalSigmoidSteepness=1.5 [hand-set, inline]; pedalSigmoidMidpoint=2.0 [hand-set, inline]",committed results + isPedalPoint,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",pedalConfidenceThreshold,pedalSigmoidMidpoint;pedalSigmoidSteepness,yes,sigmoid literals inlined (OI-79 duplication)
applyTonicPriorToSparseChord,L4-commit,live,src/composing/analysis/region/sparsechordrefinement.cpp:182-223,src/composing/analysis/region/regionanalyzer.cpp:1017,hard quality overwrite: thin quality (Power/Sus2/Sus4) + <=2 distinct pcs + root is a diatonic DEGREE -> degree's diatonic triad quality,structural (distinctPc bar 2),committed quality (before decoder.commit),NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,OI-172: live genuine-tonic identity write (172/183/172 overwrites); P(chord-quality | degree) prior in disguise
refineSparseChordQualityFromKeyContext + Aeolian guard,L4-commit,live,src/composing/analysis/region/sparsechordrefinement.cpp:122-180,"src/composing/analysis/region/regionanalyzer.cpp:1015,1233,1423",Unknown-quality upgrade to the degree's diatonic triad; guard: lone tonic/dominant pc in Aeolian stays Unknown,structural,committed quality,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,sibling of OI-172 (this one only acts on Unknown)
Round-1 anchor gates,L2,live,src/composing/analysis/harmony/harmonicsegmenter.h:43-47; src/composing/analysis/harmony/harmonicsegmenter.cpp:639-674,src/composing/analysis/harmony/harmonicsegmenter.cpp:722-746,per-region hard threshold filter (no global objective): on-beat + duration >= scaled min + staves >= 75% mean + analyzeChord winner score >= scaled min,"kAnchorMinScore=1.5 [hand-set]; kAnchorMinDurationTicks=480 [hand-set]; staveFraction=0.75 [hand-set, inline]; kRefActiveStaves=3.5 [hand-set]; kScoreFloorFraction=0.75 [hand-set]",greedyExpandSegmentation anchors,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,kAnchorMinDurationTicks;kAnchorMinScore;kRefActiveStaves;kScoreFloorFraction;staveFraction,yes,"audit disposition: L2-LEGACY, retires R6 (slicer successor wired but legacy path still live)"
Round-2 gap-fill,L2,live,src/composing/analysis/harmony/harmonicsegmenter.h:52; src/composing/analysis/harmony/harmonicsegmenter.cpp:422-555,src/composing/analysis/harmony/harmonicsegmenter.cpp:455-555,fill between anchors: sort candidates by score desc; promote if score >= scaled kRound2MinScore and harmonically distinct from neighbours; long gaps (>4x min duration) drop bilateral context,"kRound2MinScore=1.25 [hand-set]; longGapMultiplier=4 [hand-set, inline]",segmentation regions,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,kRound2MinScore;longGapMultiplier,yes,
head-gap tonic prior (Iter-74 Fix-B),L2,live,src/composing/analysis/harmony/harmonicsegmenter.cpp:848-889,src/composing/analysis/harmony/harmonicsegmenter.cpp:860-889,hard identity overwrite: synthesized head region whose winner is not tonic-rooted and margin < 0.4 gets a tonic-rooted alternative or the modal tonic triad outright,kHeadGapTonicPreferenceMargin=0.4 [hand-set],committed head region root/bass/quality,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kHeadGapTonicPreferenceMargin,yes,OI-175: the third live chord-deciding genuine-tonic site (first outside L4); fire count unmeasured
head/tail gap synthesis gates,L2,live,"src/composing/analysis/harmony/harmonicsegmenter.cpp:823,915","src/composing/analysis/harmony/harmonicsegmenter.cpp:823,915",synthesize covering region only when top candidate score > 0; tail synthesis has NO tonic prior,structural,segmentation coverage,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,,yes,
Pass-2 onset-Jaccard sub-boundaries,L2,live,src/composing/analysis/engravingbridge/regiontonecollector.h:194; src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:279-368,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:360,hard: Jaccard distance of consecutive onset sets >= threshold AND >= 2 quarter notes since last boundary,"onsetBoundaryThreshold=0.25 [hand-set]; minGapTicks=960 [hand-set, inline]",region subdivision,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,minGapTicks;onsetBoundaryThreshold,yes,live callers pass opts.onsetBoundaryThreshold (kDefaultOnsetBoundaryThreshold)
Pass-2b bass-movement sub-boundaries,L2,live,src/composing/analysis/engravingbridge/regiontonecollector.h:207; src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:370-449,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:441,hard: ANY bass pc change with >= 2 quarter notes gap fires a boundary; iterated up to 8 passes,minGapTicks=960 [hand-set]; kMaxBassMovementPasses=8 [hand-set],region subdivision,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,kMaxBassMovementPasses;minGapTicks,yes,
region size floors + coalesce,L2,live,"src/composing/analysis/scoreharvest/metricweights.h:68-69; src/composing/analysis/region/regionanalyzer.cpp:67-68,123-169,246-251","src/composing/analysis/region/regionanalyzer.cpp:251,1088,1287","hard floors: Pass-2/2b eligibility 4 quarters; Pass-3 absorbs regions < 1 quarter; short same-root runs (>=3 regions, >=720 ticks) coalesce",kMinRegionTicks=480 [hand-set]; kPass2MinRegionTicks=1920 [hand-set]; kPass2bMinRegionTicks=1920 [hand-set]; kCoalesceMinRunTicks=720 [derived]; kCoalesceMinRunCount=3 [hand-set],final region stream,F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,kCoalesceMinRunCount;kCoalesceMinRunTicks;kMinRegionTicks;kPass2MinRegionTicks;kPass2bMinRegionTicks,yes,
Pass-1 sparse-admission fallback,L2,live,src/composing/analysis/region/regionanalyzer.cpp:896-911,src/composing/analysis/region/regionanalyzer.cpp:911,retry Pass 1 with minDistinctPcsForCandidate=1 when the first attempt returns empty,structural,region stream (0-region regression guard),F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,,yes,Iter 75
change-point slicer,L2,live,src/composing/analysis/slicing/slicer.cpp:40-105,"src/composing/analysis/region/regionanalyzer.cpp:579,651","structural: boundaries = every eligible note onset/release, clipped; NO numeric terms",structural,slice stream (L3 decode substrate),F6,harmonic rhythm + boundary strength -> segmentation (semi-Markov duration) model,,,yes,coexists with legacy greedy-expand (declared transition)
