id,category,file,line,unit_kind,tier,matched_signatures,date,ratified_by,evidence_pointer,dedup_group_size,status,conformance,decision_text
DH-00011,governing,ARCHITECTURE.md,392,paragraph,broad,never,,,,1,,,"```cpp
// WRONG — never do this
if (style.id == ""jazz_vocal"") {
    applyJazzVocalSpecialCase();
}"
DH-00012,governing,ARCHITECTURE.md,406,paragraph,broad,never,,,,1,,,"Every component that may eventually be replaced or augmented by a machine learning
model must be defined behind a pure abstract interface. The rest of the system
depends only on the interface, never on a specific implementation."
DH-00013,governing,ARCHITECTURE.md,431,paragraph,broad,never,,,,1,,,"Analysis components produce structured data — they never produce display strings.
Formatting is handled by separate formatter classes. This separation is already
established by `ChordSymbolFormatter` and must be maintained throughout."
DH-00014,governing,ARCHITECTURE.md,460,heading,broad,decided/decision,,,,1,,,### 2.7 Low-Stability Decisions Are Refactorable
DH-00015,governing,ARCHITECTURE.md,462,paragraph,high,do not (revert/…),,,,1,,,"Directory structure, file naming, and internal organization can be refactored
efficiently with Claude Code assistance. Do not spend design energy on these.
Spend design energy on interfaces, data formats, and algorithms — things that
are genuinely expensive to change."
DH-00016,governing,ARCHITECTURE.md,469,paragraph,high,do not (revert/…),,,,1,,,"Before implementing anything that touches MuseScore's existing infrastructure —
UI panels, score traversal, playback, settings, localization — read how MuseScore
already does it and follow the same pattern. Do not invent parallel infrastructure."
DH-00017,governing,ARCHITECTURE.md,473,heading,broad,never,,,,1,,,### 2.9 Analyze and Suggest — Never Modify Without Explicit User Action
DH-00018,governing,ARCHITECTURE.md,475,paragraph,broad,never,,,,1,,,"The system presents analytical findings and suggestions. It never modifies the main score
automatically. All score modifications require explicit user action. The chord track, status
bar display, and visualization panels are informational — they show what the system has
inferred without changing anything. When the user wants to act on a suggestion — inserting a
key signature, adding a chord symbol, applying tuning — they do so explicitly through
standard MuseScore editing."
DH-00019,governing,ARCHITECTURE.md,495,bullet,high,do not (revert/…),,,,1,,,"3. If a composing-layer implementation is not immediately feasible (dependency
  constraints, interface not yet designed), implement in one place only and
  immediately file a technical debt note. Do not copy-paste."
DH-00020,governing,ARCHITECTURE.md,543,paragraph,high,must not,,,,1,,,"The developer (Vincent) performs score inspection in MuseScore Studio and reports
findings. Claude Code does not have direct score access and must not substitute
statistical inference for visual score inspection."
DH-00021,governing,ARCHITECTURE.md,549,blockquote,high,ruled/ruling;do not (revert/…),,,,1,,,"> *The ""Rule N"" labels in §2.11–§2.12 are a legacy flat numbering of the coding/process rules and do not align with the
> §-numbers (and appear out of order); the **§-numbers are authoritative**. Read each ""Rule N"" as a local name for the
> rule stated beside it, not a cross-reference to a numbered list.*"
DH-00022,governing,ARCHITECTURE.md,573,paragraph,broad,never,,,,1,,,All build and test commands must run synchronously (foreground). Never use background jobs or split output.
DH-00023,governing,ARCHITECTURE.md,592,paragraph,broad,never,,,,1,,,Never do:
DH-00024,governing,ARCHITECTURE.md,594,bullet,broad,decided/decision,,,,1,,,"- Run, decide too slow, kill and re-run differently"
DH-00025,governing,ARCHITECTURE.md,597,paragraph,high,do not (revert/…),,,,1,,,"One run, one result. If output is unexpected, report it and ask for instructions. Do not silently re-run."
DH-00026,governing,ARCHITECTURE.md,606,bullet,high,do not (revert/…),,,STATUS.md,1,,,- Do not leave uncommitted changes
DH-00027,governing,ARCHITECTURE.md,610,paragraph,high,corollary;never,,,,1,,,"Corollary: at session start (Rule 9 stale binary checklist), if the working tree is dirty, stash or commit before doing anything else. Never diagnose test failures in a dirty working tree without first knowing what changed."
DH-00028,governing,ARCHITECTURE.md,612,paragraph,high,do not (revert/…),,,,1,,,**Rule 16 — Do not rely on chords.xml**
DH-00029,governing,ARCHITECTURE.md,616,bullet,high,deprecated,,,,1,,,"- `share/chords/chords.xml` — legacy file, likely deprecated, contains known bugs and inconsistencies with the parser"
DH-00030,governing,ARCHITECTURE.md,618,paragraph,high,do not (revert/…),,,,1,,,"When our formatter produces a chord symbol string, it must be valid according to `chords_std.xml` only. Do not add chord symbol strings that exist only in `chords.xml` — they will fail to parse correctly under the Standard chord style and may produce corrupted output."
DH-00031,governing,ARCHITECTURE.md,638,bullet,high,refuted,,,,1,,,"- **Key ↔ chord**: the key affects how each chord is scored; the chords confirm or
  refute the key. Committing the key before chord analysis means the chord scorer
  operates under a hypothesis, not a fact."
DH-00032,governing,ARCHITECTURE.md,702,blockquote,high,ratified;superseded,2026-06-10,,,1,,,"> **⚠ SUPERSEDED 2026-06-29 — read the next block first.** The 2026-06-10 reconciliation immediately below proposed a
> *global joint-lattice decode*; that mechanism was later measured **inert** and the ratified architecture is
> **forward-only** (the 2026-06-29 reconciliation that follows). The 2026-06-10 block is **retained only as history** — do
> not build to it."
